,Taxonomy,Country,Cumulative_Count,Count
56,Acanthamoeba polyphaga mimivirus,United Kingdom,6930,1
57,Acanthis flammea CRESS-DNA-virus sp.,China,1,1
58,Acanthocystis turfacea chlorella virus 1,Germany,1720,1720
59,Acanthurus bariene nervous necrosis virus,Taiwan,1,1
60,Acanthurus dussumieri iridovirus,Taiwan,1,1
61,Acara orthobunyavirus,Brazil,3,3
62,Acara orthobunyavirus,Trinidad and Tobago,6,3
63,Acartia tonsa copepod circovirus,USA,4,4
64,Acaryochloris phage A-HIS1,Australia,95,95
65,Acaryochloris phage A-HIS2,Australia,104,104
66,Accipiter gentilis Genomoviridae sp.,China,2,2
67,Accipiter gentilis ambidensovirus,China,4,4
68,Accipiter gentilis parvo-like hybrid virus,China,2,2
69,Accipiter gentilis parvoviridae sp.,China,1,1
70,Acerodon celebensis polyomavirus 1,Indonesia,8,8
71,Acerodon celebensis polyomavirus 2,Indonesia,8,8
72,Acetes erythraeus iridovirus,Madagascar,1,1
73,Achaea janata granulovirus,India,6,6
74,Acheta domesticus Iflavirus,Sweden,2,2
75,Acheta domesticus virus,USA,1,1
76,Acheta domesticus volvovirus,Canada,4,4
77,Acheta domesticus volvovirus,Japan,12,8
78,Acheta domesticus volvovirus,Thailand,17,5
79,Acheta domesticus volvovirus,USA,21,4
80,Achimota pararubulavirus 1,Ghana,16,16
81,Achimota pararubulavirus 2,Ghana,16,16
82,Achimota pararubulavirus 3,Ghana,8,8
83,Achlievirus,USA,3,3
84,Achlievirus humihabitans,USA,3,3
85,Achromobacter phage AMA1,Australia,62,62
86,Achromobacter phage AMA2,Australia,68,68
87,Achromobacter phage JWDelta,Germany,89,89
88,Achromobacter phage JWF,Germany,236,236
89,Achromobacter phage Mano,USA,128,128
90,Achromobacter phage phiAxp-1,China,128,128
91,Achromobacter phage vB_AchrS_AchV4,Lithuania,164,164
92,Achromobacter phage vB_Ade_ART,Switzerland,127,127
93,Achromobacter phage vB_AxyP_19-32_Axy09,Cote d'Ivoire,49,49
94,Achromobacter phage vB_AxyP_19-32_Axy13,Cote d'Ivoire,71,71
95,Achromobacter phage vB_AxyP_19-32_Axy21,Cote d'Ivoire,49,49
96,Achromobacter phage vB_AxyP_19-32_Axy22,Cote d'Ivoire,78,78
97,Achromobacter phage vB_AxyP_19-32_Axy23,Cote d'Ivoire,50,50
98,Achromobacter phage vB_AxyS_19-32_Axy06,Cote d'Ivoire,55,55
99,Achromobacter phage vB_AxyS_19-32_Axy14,Cote d'Ivoire,60,60
100,Achromobacter phage vB_AxyS_19-32_Axy16,Cote d'Ivoire,58,58
101,Achromobacter phage vB_AxyS_19-32_Axy18,Cote d'Ivoire,64,64
102,Achromobacter phage vB_AxyS_19-32_Axy19,Cote d'Ivoire,65,65
103,Achromobacter phage vB_AxyS_19-32_Axy20,Cote d'Ivoire,66,66
104,Achromobacter virus 83-24,France,122,122
105,Achromobacter virus Axy04,Cote d'Ivoire,160,160
106,Achromobacter virus Axy10,Cote d'Ivoire,166,166
107,Achromobacter virus Axy11,Cote d'Ivoire,162,162
108,Achromobacter virus Axy12,Cote d'Ivoire,164,164
109,Achromobacter virus Axy24,Cote d'Ivoire,164,164
110,Achromobacter virus JWAlpha,Germany,182,182
111,Achromobacter virus JWX,Germany,134,134
112,Achromobacter virus Motura,USA,688,688
113,Achyranthes bidentata mosaic virus,China,2,2
114,Achyranthes virus A,South Korea,1,1
115,Acidianus filamentous virus 2,Italy,104,104
116,Acidianus spindle-shaped virus 1,USA,76,76
117,Acidianus tailed spindle virus,USA,190,190
118,Acidianus two-tailed virus,Italy,144,144
119,Acidianus two-tailed virus 2,Italy,63,63
120,Acidianus two-tailed virus variant 1,Italy,66,66
121,Acidomyces richmondensis tobamo-like virus 1,USA,4,4
122,Acidovorax phage ACF1,Serbia,89,89
123,Acinetobacter phage 5W,China,61,61
124,Acinetobacter phage ABP-01,Thailand,1,1
125,Acinetobacter phage ABP-04,Thailand,1,1
126,Acinetobacter phage ABPH49,China,243,243
127,Acinetobacter phage AJO2,China,25,25
128,Acinetobacter phage AM106,Russia,70,70
129,Acinetobacter phage APK09,Russia,56,56
130,Acinetobacter phage APK15,Russia,54,54
131,Acinetobacter phage APK16,Russia,54,54
132,Acinetobacter phage APK20,Russia,58,58
133,Acinetobacter phage APK37,Russia,56,56
134,Acinetobacter phage APK77,Russia,57,57
135,Acinetobacter phage APK86,Russia,56,56
136,Acinetobacter phage Ab105-2phideltaCI404ad,Spain,82,82
137,Acinetobacter phage Ab11510-phi,Mexico,76,76
138,Acinetobacter phage Ab124,China,47,47
139,Acinetobacter phage AbTJ,China,62,62
140,Acinetobacter phage Ab_121,China,159,159
141,Acinetobacter phage Ab_SZ3,China,56,56
142,Acinetobacter phage Abp9,China,81,81
143,Acinetobacter phage Abp95,China,57,57
144,Acinetobacter phage Abraxas,Russia,249,249
145,Acinetobacter phage Aristophanes,Russia,46,46
146,Acinetobacter phage BS46,United Kingdom,176,176
147,Acinetobacter phage Barton,USA,61,61
148,Acinetobacter phage Bestia,Russia,162,162
149,Acinetobacter phage DMU1,USA,59,59
150,Acinetobacter phage Effie,USA,80,80
151,Acinetobacter phage Henu6,China,234,234
152,Acinetobacter phage Herod,Russia,168,168
153,Acinetobacter phage JeffCo,USA,56,56
154,Acinetobacter phage Liucustia,Russia,157,157
155,Acinetobacter phage Maestro,USA,264,264
156,Acinetobacter phage Melin,USA,252,252
157,Acinetobacter phage Meroveus,Russia,248,248
158,Acinetobacter phage Minot,USA,248,248
159,Acinetobacter phage Mithridates,Russia,178,178
160,Acinetobacter phage Mokit,USA,250,250
161,Acinetobacter phage Morttis,USA,259,259
162,Acinetobacter phage Octan,Russia,247,247
163,Acinetobacter phage Paty,USA,55,55
164,Acinetobacter phage PhaR5,China,244,244
165,Acinetobacter phage Phab24,China,171,171
166,Acinetobacter phage Pipo,USA,58,58
167,Acinetobacter phage RL-2015,Iraq,4,4
168,Acinetobacter phage SH-Ab 15599,China,177,177
169,Acinetobacter phage Stupor,Russia,245,245
170,Acinetobacter phage TAC1,Pakistan,163,163
171,Acinetobacter phage TaPaz,Russia,178,178
172,Acinetobacter phage VB_ApiP_XC38,China,194,194
173,Acinetobacter phage YMC11/12/R1215,South Korea,85,85
174,Acinetobacter phage YMC11/12/R2315,South Korea,170,170
175,Acinetobacter phage YMC13/03/R2096,South Korea,324,324
176,Acinetobacter phage ZaA-2018a,Iraq,1,1
177,Acinetobacter phage ZaA-2018b,Iraq,1,1
178,Acinetobacter phage phiAB2,Taiwan,6,6
179,Acinetobacter phage phiAC-1,South Korea,164,164
180,Acinetobacter phage vB_AbaM_IME285,China,85,85
181,Acinetobacter phage vB_AbaM_P1,China,169,169
182,Acinetobacter phage vB_AbaP_ABWU2101,Thailand,57,57
183,Acinetobacter phage vB_AbaP_APK116,Russia,49,49
184,Acinetobacter phage vB_AbaP_APK128,Russia,52,52
185,Acinetobacter phage vB_AbaP_APK14,Russia,55,55
186,Acinetobacter phage vB_AbaP_APK2,Russia,50,50
187,Acinetobacter phage vB_AbaP_APK2-2,Russia,50,50
188,Acinetobacter phage vB_AbaP_APK26,Russia,54,54
189,Acinetobacter phage vB_AbaP_APK32,Russia,52,52
190,Acinetobacter phage vB_AbaP_APK37,Russia,51,51
191,Acinetobacter phage vB_AbaP_APK44,Russia,50,50
192,Acinetobacter phage vB_AbaP_APK48,Russia,49,49
193,Acinetobacter phage vB_AbaP_APK48-3,Russia,54,54
194,Acinetobacter phage vB_AbaP_APK81,Russia,55,55
195,Acinetobacter phage vB_AbaP_APK87,Russia,54,54
196,Acinetobacter phage vB_AbaP_APK89,Russia,52,52
197,Acinetobacter phage vB_AbaP_APK93,Russia,50,50
198,Acinetobacter phage vB_AbaP_Alexa,Russia,58,58
199,Acinetobacter phage vB_AbaP_CEB1,Portugal,1,1
200,Acinetobacter phage vB_AbaP_IME546,China,101,101
201,Acinetobacter phage vB_AbaP_PMK34,Egypt,50,50
202,Acinetobacter phage vB_AbaP_WU2001,Thailand,47,47
203,Acinetobacter phage vB_phiAcib_BQ1,Iraq,1,1
204,Acinetobacter phage vB_phiAcib_BQ2,Iraq,1,1
205,Acinetobacter phage vB_phiAcib_BQ4,Iraq,1,1
206,Acinetobacter virus AB2,China,164,164
207,Acinetobacter virus AM101,Russia,500,500
208,Acinetobacter virus AP22,Iraq,4,4
209,Acinetobacter virus AS11,Russia,102,102
210,Acinetobacter virus AS12,Russia,98,98
211,Acinetobacter virus AbC62,South Korea,168,168
212,Acinetobacter virus Aci01-1,Cote d'Ivoire,326,326
213,Acinetobacter virus Aci02-2,Cote d'Ivoire,342,342
214,Acinetobacter virus Aci05,Cote d'Ivoire,320,320
215,Acinetobacter virus Aci07,Cote d'Ivoire,104,104
216,Acinetobacter virus Aci08,Cote d'Ivoire,106,106
217,Acinetobacter virus Apostate,Russia,488,488
218,Acinetobacter virus B1,Portugal,102,102
219,Acinetobacter virus B1251,South Korea,124,124
220,Acinetobacter virus B3,Portugal,98,98
221,Acinetobacter virus B5,Portugal,106,106
222,Acinetobacter virus Berthold,Russia,500,500
223,Acinetobacter virus Fri1,Switzerland,108,108
224,Acinetobacter virus IME200,China,108,108
225,Acinetobacter virus IMEAB3,China,114,114
226,Acinetobacter virus KARL1,Germany,506,506
227,Acinetobacter virus Kimel,Russia,504,504
228,Acinetobacter virus Konradin,Russia,498,498
229,Acinetobacter virus LZ35,China,166,166
230,Acinetobacter virus Lazarus,Russia,494,494
231,Acinetobacter virus Loki,United Kingdom,102,102
232,Acinetobacter virus ME3,Ireland,652,652
233,Acinetobacter virus P1,Portugal,98,98
234,Acinetobacter virus P2,Portugal,108,108
235,Acinetobacter virus PhT2,Thailand,492,492
236,Acinetobacter virus R3177,South Korea,160,160
237,Acinetobacter virus WCHABP1,China,178,178
238,Acinetobacter virus WCHABP12,China,176,176
239,Acinetobacter virus WCHABP5,China,94,94
240,Acinetobacter virus ZZ1,China,512,512
241,Acinetobacter virus phiAB6,Taiwan,90,90
242,Acinetobacter virus vB_AbaP_AGC01,Poland,54,54
243,Acinonyx jubatus papillomavirus type 1,Namibia,70,70
244,Acinopterus angulatus reovirus,USA,1,1
245,Acionnavirus,Pacific Ocean,259,259
246,Acionnavirus,USA,1105,846
247,Acipenser iridovirus-European,France,8,8
248,Acipenser iridovirus-European,Italy,11,3
249,Acipenser iridovirus-European,Poland,17,6
250,Acipenser iridovirus-European,Sweden,18,1
251,Acipenser iridovirus-European,Ukraine,19,1
252,Acipenserid herpesvirus 1,Italy,2,2
253,Acipenserid herpesvirus 1,USA,5,3
254,Acipenserid herpesvirus 2,Canada,1,1
255,Acipenserid herpesvirus 2,Russia,17,16
256,Acipenserid herpesvirus 2,USA,115,98
257,Acipenserid herpesvirus isolate Canada,Canada,1,1
258,Ackermannviridae,Argentina,1558,1558
259,Ackermannviridae,Bangladesh,1972,414
260,Ackermannviridae,Belarus,2262,290
261,Ackermannviridae,Belgium,3447,1185
262,Ackermannviridae,Canada,5078,1631
263,Ackermannviridae,China,7665,2587
264,Ackermannviridae,Czech Republic,7871,206
265,Ackermannviridae,Denmark,9088,1217
266,Ackermannviridae,Egypt,9235,147
267,Ackermannviridae,Georgia,9684,449
268,Ackermannviridae,Germany,10128,444
269,Ackermannviridae,India,11388,1260
270,Ackermannviridae,Japan,11597,209
271,Ackermannviridae,Kenya,11969,372
272,Ackermannviridae,Korea,12811,842
273,Ackermannviridae,Mexico,13067,256
274,Ackermannviridae,Poland,14173,1106
275,Ackermannviridae,Russia,14773,600
276,Ackermannviridae,South Korea,15413,640
277,Ackermannviridae,Spain,16605,1192
278,Ackermannviridae,Switzerland,16955,350
279,Ackermannviridae,Thailand,17150,195
280,Ackermannviridae,USA,24348,7198
281,Ackermannviridae,United Kingdom,25947,1599
282,Ackermannviridae,Viet Nam,26385,438
283,Ackermannviridae sp.,USA,2357,2357
284,Ackermannviridae sp. ctClB2,USA,40,40
285,Ackermannviridae sp. ctQad106,USA,75,75
286,Ackermannviridae sp. ctaCq7,USA,93,93
287,Aconite virus A,China,6,6
288,Aconitum latent virus,Japan,12,12
289,Acremonium magoulivirus,Italy,1,1
290,Acropoma japonicum iridovirus,Taiwan,1,1
291,Acropoma japonicum nervous necrosis virus,Taiwan,1,1
292,Acropora pruinosa phage,China,1,1
293,Actias selene nucleopolyhedrovirus,United Kingdom,2,2
294,Actinidia chlorotic ringspot-associated emaravirus,China,66,66
295,Actinidia cytorhabdovirus JS27,China,7,7
296,Actinidia emaravirus 2,China,12,12
297,Actinidia seed borne latent virus,China,2,2
298,Actinidia seed borne latent virus,New Zealand,10,8
299,Actinidia seed borne latent virus,South Korea,14,4
300,Actinidia seed-borne latent like virus,China,4,4
301,Actinidia virus 1,China,165,165
302,Actinidia virus 1,Italy,189,24
303,Actinidia virus A,China,75,75
304,Actinidia virus A,New Zealand,85,10
305,Actinidia virus A,South Korea,91,6
306,Actinidia virus B,China,51,51
307,Actinidia virus B,New Zealand,61,10
308,Actinidia virus B,South Korea,62,1
309,Actinidia virus C,China,26,26
310,Actinidia virus X,Belgium,6,6
311,Actinidia virus X,Canada,18,12
312,Actinidia virus X,Ethiopia,23,5
313,Actinidia virus X,Netherlands,30,7
314,Actinidia virus X,New Zealand,35,5
315,Actinidia virus X,United Kingdom,55,20
316,Actinidia yellowing ringspot virus,China,4,4
317,Actinidia yellowing virus 1,China,1,1
318,Actinidia yellowing virus 2,China,5,5
319,Actinoplanes phage phiAsp2,Germany,76,76
320,Actinovirus,China,12,12
321,Actinovirus,Switzerland,22,10
322,Acute bee paralysis virus,Argentina,1,1
323,Acute bee paralysis virus,Benin,4,3
324,Acute bee paralysis virus,Brazil,5,1
325,Acute bee paralysis virus,Bulgaria,7,2
326,Acute bee paralysis virus,Canada,8,1
327,Acute bee paralysis virus,Chile,9,1
328,Acute bee paralysis virus,China,47,38
329,Acute bee paralysis virus,Costa Rica,48,1
330,Acute bee paralysis virus,Denmark,49,1
331,Acute bee paralysis virus,France,54,5
332,Acute bee paralysis virus,Morocco,55,1
333,Acute bee paralysis virus,Serbia,56,1
334,Acute bee paralysis virus,Slovenia,114,58
335,Acute bee paralysis virus,Switzerland,115,1
336,Acute bee paralysis virus,Syria,119,4
337,Acute bee paralysis virus,Thailand,141,22
338,Acute bee paralysis virus,Turkey,148,7
339,Acute bee paralysis virus,Ukraine,150,2
340,Acute bee paralysis virus,United Kingdom,181,31
341,Acute bee paralysis virus,Uruguay,182,1
342,Acute bee paralysis virus,Zimbabwe,184,2
343,Acyrthosiphon pisum virus,Denmark,2,2
344,Acyrthosiphon pisum virus,United Kingdom,4,2
345,Adagum virus,Russia,1,1
346,Adahivirus,USA,4,4
347,Adahivirus asienecus,USA,4,4
348,Adahmuvirus,Japan,3,3
349,Adahmuvirus asiocola,Japan,3,3
350,Adana phlebovirus,Turkey,8,8
351,Adelaide River ephemerovirus,Australia,19,19
352,Adelphocoris suturalis virus,China,10,10
353,Adeno-Associated Virus Clade A,Bangladesh,33,33
354,Adeno-Associated Virus Clade C,Bangladesh,2,2
355,Adeno-Associated Virus Clade D,Bangladesh,2,2
356,Adeno-Associated Virus PREDICT_AaV-10,Bangladesh,3,3
357,Adeno-Associated Virus PREDICT_AaV-11,Bangladesh,6,6
358,Adeno-Associated Virus PREDICT_AaV-5,Bangladesh,1,1
359,Adeno-Associated Virus PREDICT_AaV-6,Bangladesh,2,2
360,Adeno-Associated Virus PREDICT_AaV-7,Bangladesh,2,2
361,Adeno-Associated Virus PREDICT_AaV-8,Bangladesh,4,4
362,Adeno-Associated Virus PREDICT_AaV-9,Bangladesh,1,1
363,Adeno-Associated Virus rh.8,Bangladesh,32,32
364,Adeno-associated dependoparvovirus A,Iran,78,78
365,Adeno-associated dependoparvovirus A,Tanzania,101,23
366,Adeno-associated dependoparvovirus A,USA,106,5
367,Adeno-associated dependoparvovirus B,USA,2,2
368,Adeno-associated virus,Australia,17,17
369,Adeno-associated virus,Canada,42,25
370,Adeno-associated virus,China,53,11
371,Adeno-associated virus,France,552,499
372,Adeno-associated virus,India,580,28
373,Adeno-associated virus,USA,738,158
374,Adeno-associated virus,Ukraine,744,6
375,Adeno-associated virus - Po1,Canada,4,4
376,Adeno-associated virus - Po2,Canada,1,1
377,Adeno-associated virus - Po3,Canada,1,1
378,Adeno-associated virus Croatia cul1_12,Croatia,2,2
379,Adeno-associated virus VR-195,USA,2,2
380,Adeno-associated virus VR-355,USA,2,2
381,Adenoviridae,Antarctica,178,178
382,Adenoviridae,Argentina,771,593
383,Adenoviridae,Armenia,779,8
384,Adenoviridae,Australia,1453,674
385,Adenoviridae,Austria,1551,98
386,Adenoviridae,Azerbaijan,1555,4
387,Adenoviridae,Bahamas,1560,5
388,Adenoviridae,Bangladesh,1839,279
389,Adenoviridae,Belarus,1844,5
390,Adenoviridae,Belgium,1961,117
391,Adenoviridae,Brazil,3343,1382
392,Adenoviridae,Burkina Faso,3352,9
393,Adenoviridae,Cameroon,3662,310
394,Adenoviridae,Canada,4622,960
395,Adenoviridae,Cayman Islands,4625,3
396,Adenoviridae,Central African Republic,4632,7
397,Adenoviridae,Chile,4636,4
398,Adenoviridae,China,27041,22405
399,Adenoviridae,Cote d'Ivoire,27128,87
400,Adenoviridae,Croatia,27131,3
401,Adenoviridae,Cuba,27188,57
402,Adenoviridae,Czech Republic,27214,26
403,Adenoviridae,Democratic Republic of the Congo,27488,274
404,Adenoviridae,Denmark,27682,194
405,Adenoviridae,Dominican Republic,27684,2
406,Adenoviridae,Ecuador,27692,8
407,Adenoviridae,Egypt,28319,627
408,Adenoviridae,El Salvador,28359,40
409,Adenoviridae,Ethiopia,28385,26
410,Adenoviridae,Faroe Islands,28386,1
411,Adenoviridae,Fiji,28389,3
412,Adenoviridae,Finland,28424,35
413,Adenoviridae,France,29254,830
414,Adenoviridae,French Guiana,29255,1
415,Adenoviridae,Gabon,29480,225
416,Adenoviridae,Germany,35004,5524
417,Adenoviridae,Ghana,35011,7
418,Adenoviridae,Greece,35049,38
419,Adenoviridae,Greenland,35055,6
420,Adenoviridae,Guatemala,35069,14
421,Adenoviridae,Haiti,35114,45
422,Adenoviridae,Honduras,35153,39
423,Adenoviridae,Hong Kong,35214,61
424,Adenoviridae,Hungary,35925,711
425,Adenoviridae,India,36929,1004
426,Adenoviridae,Indonesia,37001,72
427,Adenoviridae,Iran,37224,223
428,Adenoviridae,Iraq,37349,125
429,Adenoviridae,Ireland,37494,145
430,Adenoviridae,Israel,37509,15
431,Adenoviridae,Italy,38096,587
432,Adenoviridae,Japan,42176,4080
433,Adenoviridae,Kazakhstan,42177,1
434,Adenoviridae,Kenya,42219,42
435,Adenoviridae,Kuwait,42254,35
436,Adenoviridae,Kyrgyzstan,42262,8
437,Adenoviridae,Macau,42265,3
438,Adenoviridae,Madagascar,42271,6
439,Adenoviridae,Malaysia,42645,374
440,Adenoviridae,Mexico,42842,197
441,Adenoviridae,Mongolia,42880,38
442,Adenoviridae,Morocco,42954,74
443,Adenoviridae,Mozambique,42964,10
444,Adenoviridae,Myanmar,42965,1
445,Adenoviridae,Nepal,43004,39
446,Adenoviridae,Netherlands,43461,457
447,Adenoviridae,New Zealand,43464,3
448,Adenoviridae,Nigeria,43469,5
449,Adenoviridae,Norway,43495,26
450,Adenoviridae,Pakistan,43594,99
451,Adenoviridae,Panama,43631,37
452,Adenoviridae,Paraguay,43679,48
453,Adenoviridae,Peru,43761,82
454,Adenoviridae,Philippines,43770,9
455,Adenoviridae,Poland,43862,92
456,Adenoviridae,Portugal,43909,47
457,Adenoviridae,Republic of the Congo,43942,33
458,Adenoviridae,Romania,43943,1
459,Adenoviridae,Russia,44612,669
460,Adenoviridae,Rwanda,44630,18
461,Adenoviridae,Saint Kitts and Nevis,44646,16
462,Adenoviridae,Saudi Arabia,44993,347
463,Adenoviridae,Serbia,45000,7
464,Adenoviridae,Singapore,45443,443
465,Adenoviridae,Slovakia,45499,56
466,Adenoviridae,Slovenia,45503,4
467,Adenoviridae,South Africa,45862,359
468,Adenoviridae,South Korea,47008,1146
469,Adenoviridae,Spain,47423,415
470,Adenoviridae,Sudan,47429,6
471,Adenoviridae,Sweden,48455,1026
472,Adenoviridae,Switzerland,48968,513
473,Adenoviridae,Taiwan,49326,358
474,Adenoviridae,Tajikistan,49334,8
475,Adenoviridae,Tanzania,49394,60
476,Adenoviridae,Thailand,50065,671
477,Adenoviridae,Trinidad and Tobago,50072,7
478,Adenoviridae,Tunisia,50341,269
479,Adenoviridae,Turkey,50502,161
480,Adenoviridae,USA,65226,14724
481,Adenoviridae,Uganda,65359,133
482,Adenoviridae,Ukraine,65400,41
483,Adenoviridae,United Arab Emirates,65401,1
484,Adenoviridae,United Kingdom,66220,819
485,Adenoviridae,Uruguay,66222,2
486,Adenoviridae,Viet Nam,66444,222
487,Adenoviridae,Zambia,66482,38
488,Adenoviridae sp.,Austria,2,2
489,Adenoviridae sp.,Belgium,3,1
490,Adenoviridae sp.,China,29,26
491,Adenoviridae sp.,Denmark,30,1
492,Adenoviridae sp.,Mongolia,32,2
493,Adenoviridae sp.,Singapore,33,1
494,Adenoviridae sp.,Switzerland,34,1
495,Adenoviridae sp.,Uganda,35,1
496,Adenoviridae sp.,United Kingdom,36,1
497,Adenovirus Hu/RJ/2006-08/Brazil/2006,Brazil,1,1
498,Adenovirus Hu/RJ/2006-13/Brazil/2006,Brazil,1,1
499,Adenovirus Hu/RJ/2006-14/Brazil/2006,Brazil,1,1
500,Adenovirus Hu/RJ/2008-317/Brazil/2008,Brazil,1,1
501,Adenovirus Hu/RJ/2008-318/Brazil/2008,Brazil,1,1
502,Adenovirus Hu/RJ/2008-319/Brazil/2008,Brazil,1,1
503,Adenovirus Hu/RJ/2008-320/Brazil/2008,Brazil,1,1
504,Adenovirus Hu/RJ/2008-322/Brazil/2008,Brazil,1,1
505,Adenovirus Hu/RJ/2008-323/Brazil/2008,Brazil,1,1
506,Adenovirus Hu/RJ/2008-324/Brazil/2008,Brazil,1,1
507,Adenovirus Hu/RJ/2008-334/Brazil/2008,Brazil,1,1
508,Adenovirus Hu/RJ/2008-335/Brazil/2008,Brazil,1,1
509,Adenovirus Hu/RJ/2008-337/Brazil/2008,Brazil,1,1
510,Adenovirus Hu/RJ/2008-338/Brazil/2008,Brazil,1,1
511,Adenovirus Hu/RJ/2008-339/Brazil/2008,Brazil,1,1
512,Adenovirus Hu/RJ/2008-340/Brazil/2008,Brazil,1,1
513,Adenovirus Hu/RJ/2008-341/Brazil/2008,Brazil,1,1
514,Adenovirus Hu/RJ/2008-342/Brazil/2008,Brazil,1,1
515,Adenovirus Hu/RJ/2008-356/Brazil/2008,Brazil,1,1
516,Adenovirus Lopburi057/2006/THA,Thailand,1,1
517,Adenovirus Lopburi070/2006/THA,Thailand,1,1
518,Adenovirus Lopburi073/2006/THA,Thailand,1,1
519,Adenovirus Lopburi078/2006/THA,Thailand,1,1
520,Adenovirus PREDICT_AdV-13,Brazil,7,7
521,Adenovirus PREDICT_AdV-14,Brazil,1,1
522,Adenovirus PREDICT_AdV-15,Brazil,2,2
523,Adenovirus PREDICT_AdV-16,Brazil,5,5
524,Adenovirus PREDICT_AdV-17,Cameroon,2,2
525,Adenovirus PREDICT_AdV-18,Cameroon,2,2
526,Adenovirus PREDICT_AdV-19,Cameroon,1,1
527,Adenovirus PREDICT_AdV-2,Rwanda,1,1
528,Adenovirus PREDICT_AdV-20,Cameroon,1,1
529,Adenovirus PREDICT_AdV-21,Cameroon,2,2
530,Adenovirus PREDICT_AdV-22,Cameroon,4,4
531,Adenovirus PREDICT_AdV-23,Cameroon,1,1
532,Adenovirus PREDICT_AdV-24,Cameroon,7,7
533,Adenovirus PREDICT_AdV-25,Cameroon,2,2
534,Adenovirus PREDICT_AdV-26,Malaysia,1,1
535,Adenovirus PREDICT_AdV-27,Malaysia,1,1
536,Adenovirus PREDICT_AdV-28,Cameroon,3,3
537,Adenovirus PREDICT_AdV-29,Cameroon,4,4
538,Adenovirus PREDICT_AdV-30,Cameroon,1,1
539,Adenovirus PREDICT_AdV-31,Uganda,2,2
540,Adenovirus PREDICT_AdV-32,Uganda,1,1
541,Adenovirus PREDICT_AdV-33,Cameroon,3,3
542,Adenovirus PREDICT_AdV-34,Cameroon,3,3
543,Adenovirus PREDICT_AdV-35,Cameroon,4,4
544,Adenovirus PREDICT_AdV-36,Cameroon,3,3
545,Adenovirus PREDICT_AdV-37,Cameroon,2,2
546,Adenovirus PREDICT_AdV-38,Cameroon,12,12
547,Adenovirus PREDICT_AdV-39,Cameroon,1,1
548,Adenovirus PREDICT_AdV-40,Cameroon,1,1
549,Adenovirus PREDICT_AdV-41,Cameroon,2,2
550,Adenovirus PREDICT_AdV-42,Cameroon,1,1
551,Adenovirus PREDICT_AdV-43,Uganda,3,3
552,Adenovirus PREDICT_AdV-44,Cameroon,3,3
553,Adenovirus PREDICT_AdV-45,Cameroon,2,2
554,Adenovirus PREDICT_AdV-46,Cameroon,1,1
555,Adenovirus PREDICT_AdV-47,Uganda,1,1
556,Adenovirus PREDICT_AdV-48,Cameroon,4,4
557,Adenovirus PREDICT_AdV-49,Cameroon,7,7
