Species,Country,Count
Accipiter gentilis parvoviridae sp.,China,1
Acerodon celebensis polyomavirus 1,Indonesia,8
Acerodon celebensis polyomavirus 2,Indonesia,8
Acetes erythraeus iridovirus,Madagascar,1
Achaea janata granulovirus,India,6
Acheta domesticus Iflavirus,Sweden,2
Acheta domesticus virus,USA,1
Acheta domesticus volvovirus,Canada,4
Acheta domesticus volvovirus,Japan,8
Acheta domesticus volvovirus,Thailand,5
Acheta domesticus volvovirus,USA,4
Achimota pararubulavirus 1,Ghana,16
Achimota pararubulavirus 2,Ghana,16
Achimota pararubulavirus 3,Ghana,8
Achlievirus humihabitans,USA,3
Achromobacter phage AMA1,Australia,62
Achromobacter phage AMA2,Australia,68
Achromobacter phage JWDelta,Germany,89
Achromobacter phage JWF,Germany,236
Achromobacter phage Mano,USA,128
Achromobacter phage phiAxp-1,China,128
Achromobacter phage vB_AchrS_AchV4,Lithuania,164
Achromobacter phage vB_Ade_ART,Switzerland,127
Achromobacter phage vB_AxyP_19-32_Axy09,Cote d'Ivoire,49
Achromobacter phage vB_AxyP_19-32_Axy13,Cote d'Ivoire,71
Achromobacter phage vB_AxyP_19-32_Axy21,Cote d'Ivoire,49
Achromobacter phage vB_AxyP_19-32_Axy22,Cote d'Ivoire,78
Achromobacter phage vB_AxyP_19-32_Axy23,Cote d'Ivoire,50
Achromobacter phage vB_AxyS_19-32_Axy06,Cote d'Ivoire,55
Achromobacter phage vB_AxyS_19-32_Axy14,Cote d'Ivoire,60
Achromobacter phage vB_AxyS_19-32_Axy16,Cote d'Ivoire,58
Achromobacter phage vB_AxyS_19-32_Axy18,Cote d'Ivoire,64
Achromobacter phage vB_AxyS_19-32_Axy19,Cote d'Ivoire,65
Achromobacter phage vB_AxyS_19-32_Axy20,Cote d'Ivoire,66
Achromobacter virus 83-24,France,122
Achromobacter virus Axy04,Cote d'Ivoire,160
Achromobacter virus Axy10,Cote d'Ivoire,166
Achromobacter virus Axy11,Cote d'Ivoire,162
Achromobacter virus Axy12,Cote d'Ivoire,164
Achromobacter virus Axy24,Cote d'Ivoire,164
Achromobacter virus JWAlpha,Germany,182
Achromobacter virus JWX,Germany,134
Achromobacter virus Motura,USA,688
Achyranthes bidentata mosaic virus,China,2
Achyranthes virus A,South Korea,1
Acidianus filamentous virus 2,Italy,104
Acidianus spindle-shaped virus 1,USA,76
Acidianus tailed spindle virus,USA,190
Acidianus two-tailed virus,Italy,144
Acidianus two-tailed virus 2,Italy,63
Acidianus two-tailed virus variant 1,Italy,66
Acidomyces richmondensis tobamo-like virus 1,USA,4
Acidovorax phage ACF1,Serbia,89
Acinetobacter phage 5W,China,61
Acinetobacter phage ABP-01,Thailand,1
Acinetobacter phage ABP-04,Thailand,1
Acinetobacter phage ABPH49,China,243
Acinetobacter phage AJO2,China,25
Acinetobacter phage AM106,Russia,70
Acinetobacter phage APK09,Russia,56
Acinetobacter phage APK15,Russia,54
Acinetobacter phage APK16,Russia,54
Acinetobacter phage APK20,Russia,58
Acinetobacter phage APK37,Russia,56
Acinetobacter phage APK77,Russia,57
Acinetobacter phage APK86,Russia,56
Acinetobacter phage Ab105-2phideltaCI404ad,Spain,82
Acinetobacter phage Ab11510-phi,Mexico,76
Acinetobacter phage Ab124,China,47
Acinetobacter phage AbTJ,China,62
Acinetobacter phage Ab_121,China,159
Acinetobacter phage Ab_SZ3,China,56
Acinetobacter phage Abp9,China,81
Acinetobacter phage Abp95,China,57
Acinetobacter phage Abraxas,Russia,249
Acinetobacter phage Aristophanes,Russia,46
Acinetobacter phage BS46,United Kingdom,176
Acinetobacter phage Barton,USA,61
Acinetobacter phage Bestia,Russia,162
Acinetobacter phage DMU1,USA,59
Acinetobacter phage Effie,USA,80
Acinetobacter phage Henu6,China,234
Acinetobacter phage Herod,Russia,168
Acinetobacter phage JeffCo,USA,56
Acinetobacter phage Liucustia,Russia,157
Acinetobacter phage Maestro,USA,264
Acinetobacter phage Melin,USA,252
Acinetobacter phage Meroveus,Russia,248
Acinetobacter phage Minot,USA,248
Acinetobacter phage Mithridates,Russia,178
Acinetobacter phage Mokit,USA,250
Acinetobacter phage Morttis,USA,259
Acinetobacter phage Octan,Russia,247
Acinetobacter phage Paty,USA,55
Acinetobacter phage PhaR5,China,244
Acinetobacter phage Phab24,China,171
Acinetobacter phage Pipo,USA,58
Acinetobacter phage RL-2015,Iraq,4
Acinetobacter phage SH-Ab 15599,China,177
Acinetobacter phage Stupor,Russia,245
Acinetobacter phage TAC1,Pakistan,163
Acinetobacter phage TaPaz,Russia,178
Acinetobacter phage VB_ApiP_XC38,China,194
Acinetobacter phage YMC11/12/R1215,South Korea,85
Acinetobacter phage YMC11/12/R2315,South Korea,170
Acinetobacter phage YMC13/03/R2096,South Korea,324
Acinetobacter phage ZaA-2018a,Iraq,1
Acinetobacter phage ZaA-2018b,Iraq,1
Acinetobacter phage phiAB2,Taiwan,6
Acinetobacter phage phiAC-1,South Korea,164
Acinetobacter phage vB_AbaM_IME285,China,85
Acinetobacter phage vB_AbaM_P1,China,169
Acinetobacter phage vB_AbaP_ABWU2101,Thailand,57
Acinetobacter phage vB_AbaP_APK116,Russia,49
Acinetobacter phage vB_AbaP_APK128,Russia,52
Acinetobacter phage vB_AbaP_APK14,Russia,55
Acinetobacter phage vB_AbaP_APK2,Russia,50
Acinetobacter phage vB_AbaP_APK2-2,Russia,50
Acinetobacter phage vB_AbaP_APK26,Russia,54
Acinetobacter phage vB_AbaP_APK32,Russia,52
Acinetobacter phage vB_AbaP_APK37,Russia,51
Acinetobacter phage vB_AbaP_APK44,Russia,50
Acinetobacter phage vB_AbaP_APK48,Russia,49
Acinetobacter phage vB_AbaP_APK48-3,Russia,54
Acinetobacter phage vB_AbaP_APK81,Russia,55
Acinetobacter phage vB_AbaP_APK87,Russia,54
Acinetobacter phage vB_AbaP_APK89,Russia,52
Acinetobacter phage vB_AbaP_APK93,Russia,50
Acinetobacter phage vB_AbaP_Alexa,Russia,58
Acinetobacter phage vB_AbaP_CEB1,Portugal,1
Acinetobacter phage vB_AbaP_IME546,China,101
Acinetobacter phage vB_AbaP_PMK34,Egypt,50
Acinetobacter phage vB_AbaP_WU2001,Thailand,47
Acinetobacter phage vB_phiAcib_BQ1,Iraq,1
Acinetobacter phage vB_phiAcib_BQ2,Iraq,1
Acinetobacter phage vB_phiAcib_BQ4,Iraq,1
Acinetobacter virus AB2,China,164
Acinetobacter virus AM101,Russia,500
Acinetobacter virus AP22,Iraq,4
Acinetobacter virus AS11,Russia,102
Acinetobacter virus AS12,Russia,98
Acinetobacter virus AbC62,South Korea,168
Acinetobacter virus Aci01-1,Cote d'Ivoire,326
Acinetobacter virus Aci02-2,Cote d'Ivoire,342
Acinetobacter virus Aci05,Cote d'Ivoire,320
Acinetobacter virus Aci07,Cote d'Ivoire,104
Acinetobacter virus Aci08,Cote d'Ivoire,106
Acinetobacter virus Apostate,Russia,488
Acinetobacter virus B1,Portugal,102
Acinetobacter virus B1251,South Korea,124
Acinetobacter virus B3,Portugal,98
Acinetobacter virus B5,Portugal,106
Acinetobacter virus Berthold,Russia,500
Acinetobacter virus Fri1,Switzerland,108
Acinetobacter virus IME200,China,108
Acinetobacter virus IMEAB3,China,114
Acinetobacter virus KARL1,Germany,506
Acinetobacter virus Kimel,Russia,504
Acinetobacter virus Konradin,Russia,498
Acinetobacter virus LZ35,China,166
Acinetobacter virus Lazarus,Russia,494
Acinetobacter virus Loki,United Kingdom,102
Acinetobacter virus ME3,Ireland,652
Acinetobacter virus P1,Portugal,98
Acinetobacter virus P2,Portugal,108
Acinetobacter virus PhT2,Thailand,492
Acinetobacter virus R3177,South Korea,160
Acinetobacter virus WCHABP1,China,178
Acinetobacter virus WCHABP12,China,176
Acinetobacter virus WCHABP5,China,94
Acinetobacter virus ZZ1,China,512
Acinetobacter virus phiAB6,Taiwan,90
Acinetobacter virus vB_AbaP_AGC01,Poland,54
Acinonyx jubatus papillomavirus type 1,Namibia,70
Acinopterus angulatus reovirus,USA,1
Acipenser iridovirus-European,France,8
Acipenser iridovirus-European,Italy,3
Acipenser iridovirus-European,Poland,6
Acipenser iridovirus-European,Sweden,1
Acipenser iridovirus-European,Ukraine,1
Acipenserid herpesvirus 1,Italy,2
Acipenserid herpesvirus 1,USA,3
Acipenserid herpesvirus 2,Canada,1
Acipenserid herpesvirus 2,Russia,16
Acipenserid herpesvirus 2,USA,98
Acipenserid herpesvirus isolate Canada,Canada,1
Ackermannviridae sp.,USA,2357
Ackermannviridae sp. ctClB2,USA,40
Ackermannviridae sp. ctQad106,USA,75
Ackermannviridae sp. ctaCq7,USA,93
Aconite virus A,China,6
Aconitum latent virus,Japan,12
Acremonium magoulivirus,Italy,1
Acropoma japonicum iridovirus,Taiwan,1
Acropoma japonicum nervous necrosis virus,Taiwan,1
Acropora pruinosa phage,China,1
Actias selene nucleopolyhedrovirus,United Kingdom,2
Actinidia chlorotic ringspot-associated emaravirus,China,66
Actinidia cytorhabdovirus JS27,China,7
Actinidia emaravirus 2,China,12
Actinidia seed borne latent virus,China,2
Actinidia seed borne latent virus,New Zealand,8
Actinidia seed borne latent virus,South Korea,4
Actinidia seed-borne latent like virus,China,4
Actinidia virus 1,China,165
Actinidia virus 1,Italy,24
Actinidia virus A,China,75
Actinidia virus A,New Zealand,10
Actinidia virus A,South Korea,6
Actinidia virus B,China,51
Actinidia virus B,New Zealand,10
Actinidia virus B,South Korea,1
Actinidia virus C,China,26
Actinidia virus X,Belgium,6
Actinidia virus X,Canada,12
Actinidia virus X,Ethiopia,5
Actinidia virus X,Netherlands,7
Actinidia virus X,New Zealand,5
Actinidia virus X,United Kingdom,20
Actinidia yellowing ringspot virus,China,4
Actinidia yellowing virus 1,China,1
Actinidia yellowing virus 2,China,5
Actinoplanes phage phiAsp2,Germany,76
Acute bee paralysis virus,Argentina,1
Acute bee paralysis virus,Benin,3
Acute bee paralysis virus,Brazil,1
Acute bee paralysis virus,Bulgaria,2
Acute bee paralysis virus,Canada,1
Acute bee paralysis virus,Chile,1
Acute bee paralysis virus,China,38
Acute bee paralysis virus,Costa Rica,1
Acute bee paralysis virus,Denmark,1
Acute bee paralysis virus,France,5
Acute bee paralysis virus,Morocco,1
Acute bee paralysis virus,Serbia,1
Acute bee paralysis virus,Slovenia,58
Acute bee paralysis virus,Switzerland,1
Acute bee paralysis virus,Syria,4
Acute bee paralysis virus,Thailand,22
Acute bee paralysis virus,Turkey,7
Acute bee paralysis virus,Ukraine,2
Acute bee paralysis virus,United Kingdom,31
Acute bee paralysis virus,Uruguay,1
Acute bee paralysis virus,Zimbabwe,2
Acyrthosiphon pisum virus,Denmark,2
Acyrthosiphon pisum virus,United Kingdom,2
Adagum virus,Russia,1
Adahivirus asienecus,USA,4
Adahmuvirus asiocola,Japan,3
Adana phlebovirus,Turkey,8
Adelaide River ephemerovirus,Australia,19
Adelphocoris suturalis virus,China,10
Adeno-Associated Virus Clade A,Bangladesh,33
Adeno-Associated Virus Clade C,Bangladesh,2
Adeno-Associated Virus Clade D,Bangladesh,2
Adeno-Associated Virus PREDICT_AaV-10,Bangladesh,3
Adeno-Associated Virus PREDICT_AaV-11,Bangladesh,6
Adeno-Associated Virus PREDICT_AaV-5,Bangladesh,1
Adeno-Associated Virus PREDICT_AaV-6,Bangladesh,2
Adeno-Associated Virus PREDICT_AaV-7,Bangladesh,2
Adeno-Associated Virus PREDICT_AaV-8,Bangladesh,4
Adeno-Associated Virus PREDICT_AaV-9,Bangladesh,1
Adeno-Associated Virus rh.8,Bangladesh,32
Adeno-associated dependoparvovirus A,Iran,78
Adeno-associated dependoparvovirus A,Tanzania,23
Adeno-associated dependoparvovirus A,USA,5
Adeno-associated dependoparvovirus B,USA,2
Adeno-associated virus,Australia,17
Adeno-associated virus,Canada,25
Adeno-associated virus,China,11
Adeno-associated virus,France,499
Adeno-associated virus,India,28
Adeno-associated virus,USA,158
Adeno-associated virus,Ukraine,6
Adeno-associated virus - Po1,Canada,4
Adeno-associated virus - Po2,Canada,1
Adeno-associated virus - Po3,Canada,1
Adeno-associated virus Croatia cul1_12,Croatia,2
Adeno-associated virus VR-195,USA,2
Adeno-associated virus VR-355,USA,2
Adenoviridae sp.,Austria,2
Adenoviridae sp.,Belgium,1
Adenoviridae sp.,China,26
Adenoviridae sp.,Denmark,1
Adenoviridae sp.,Mongolia,2
Adenoviridae sp.,Singapore,1
Adenoviridae sp.,Switzerland,1
Adenoviridae sp.,Uganda,1
Adenoviridae sp.,United Kingdom,1
Adenovirus Hu/RJ/2006-08/Brazil/2006,Brazil,1
Adenovirus Hu/RJ/2006-13/Brazil/2006,Brazil,1
Adenovirus Hu/RJ/2006-14/Brazil/2006,Brazil,1
Adenovirus Hu/RJ/2008-317/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-318/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-319/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-320/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-322/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-323/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-324/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-334/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-335/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-337/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-338/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-339/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-340/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-341/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-342/Brazil/2008,Brazil,1
Adenovirus Hu/RJ/2008-356/Brazil/2008,Brazil,1
Adenovirus Lopburi057/2006/THA,Thailand,1
Adenovirus Lopburi070/2006/THA,Thailand,1
Adenovirus Lopburi073/2006/THA,Thailand,1
Adenovirus Lopburi078/2006/THA,Thailand,1
Adenovirus PREDICT_AdV-13,Brazil,7
Adenovirus PREDICT_AdV-14,Brazil,1
Adenovirus PREDICT_AdV-15,Brazil,2
Adenovirus PREDICT_AdV-16,Brazil,5
Adenovirus PREDICT_AdV-17,Cameroon,2
Adenovirus PREDICT_AdV-18,Cameroon,2
Adenovirus PREDICT_AdV-19,Cameroon,1
Adenovirus PREDICT_AdV-2,Rwanda,1
Adenovirus PREDICT_AdV-20,Cameroon,1
Adenovirus PREDICT_AdV-21,Cameroon,2
Adenovirus PREDICT_AdV-22,Cameroon,4
Adenovirus PREDICT_AdV-23,Cameroon,1
Adenovirus PREDICT_AdV-24,Cameroon,7
Adenovirus PREDICT_AdV-25,Cameroon,2
Adenovirus PREDICT_AdV-26,Malaysia,1
Adenovirus PREDICT_AdV-27,Malaysia,1
Adenovirus PREDICT_AdV-28,Cameroon,3
Adenovirus PREDICT_AdV-29,Cameroon,4
Adenovirus PREDICT_AdV-30,Cameroon,1
Adenovirus PREDICT_AdV-31,Uganda,2
Adenovirus PREDICT_AdV-32,Uganda,1
Adenovirus PREDICT_AdV-33,Cameroon,3
Adenovirus PREDICT_AdV-34,Cameroon,3
Adenovirus PREDICT_AdV-35,Cameroon,4
Adenovirus PREDICT_AdV-36,Cameroon,3
Adenovirus PREDICT_AdV-37,Cameroon,2
Adenovirus PREDICT_AdV-38,Cameroon,12
Adenovirus PREDICT_AdV-39,Cameroon,1
Adenovirus PREDICT_AdV-40,Cameroon,1
Adenovirus PREDICT_AdV-41,Cameroon,2
Adenovirus PREDICT_AdV-42,Cameroon,1
Adenovirus PREDICT_AdV-43,Uganda,3
Adenovirus PREDICT_AdV-44,Cameroon,3
Adenovirus PREDICT_AdV-45,Cameroon,2
Adenovirus PREDICT_AdV-46,Cameroon,1
Adenovirus PREDICT_AdV-47,Uganda,1
Adenovirus PREDICT_AdV-48,Cameroon,4
Adenovirus PREDICT_AdV-49,Cameroon,7
Adenovirus PREDICT_AdV-50,Cameroon,3
Adenovirus PREDICT_AdV-51,Cameroon,1
Adenovirus PREDICT_AdV-52,Uganda,1
Adenovirus PREDICT_AdV-53,Cameroon,1
Adenovirus PREDICT_AdV-54,Cameroon,2
Adenovirus PREDICT_AdV-55,Malaysia,1
Adenovirus PREDICT_AdV-56,Cameroon,1
Adenovirus PREDICT_AdV-57,Cameroon,1
Adenovirus PREDICT_AdV-58,Cameroon,2
Adenovirus PREDICT_AdV-59,Cameroon,1
Adenovirus PREDICT_AdV-60,Cameroon,1
Adenovirus PREDICT_AdV-61,Cameroon,1
Adenovirus PREDICT_AdV-62,Cameroon,1
Adenovirus PREDICT_AdV-63,Cameroon,1
Adenovirus PREDICT_AdV-64,Cameroon,2
Adenovirus PREDICT_AdV-65,Cameroon,1
Adenovirus PREDICT_AdV-66,Malaysia,5
Adenovirus PREDICT_AdV-67,Malaysia,1
Adenovirus PREDICT_AdV-68,Cameroon,3
Adenovirus PREDICT_AdV-69,Bangladesh,2
Adenovirus PREDICT_AdV-70,Malaysia,1
Adenovirus PREDICT_AdV-71,Brazil,2
Adenovirus PREDICT_AdV-72,Bangladesh,3
Adenovirus PREDICT_AdV-73,Gabon,5
Adenovirus PREDICT_AdV-74,Cameroon,1
Adenovirus PREDICT_AdV-74,Gabon,5
Adenovirus PREDICT_AdV-75,Gabon,109
Adenovirus PREDICT_AdV-77,Malaysia,1
Adenovirus PREDICT_AdV-78,Cameroon,1
Adenovirus PREDICT_AdV-79,Cameroon,1
Adenovirus PREDICT_AdV-80,Cameroon,1
Adenovirus PREDICT_AdV-81,Mexico,1
Adenovirus PREDICT_AdV-87,Mexico,3
Adenovirus PREDICT_AdV-90,Bangladesh,6
Adenovirus PREDICT_AdV-91,Malaysia,1
Adenovirus red squirrel/DEU/JK-2011,Germany,2
Adenovirus sp.,Australia,1
Adenovirus sp.,Bangladesh,16
Adenovirus sp.,South Korea,1
Adenovirus squirrel/298/07-19/PT,Portugal,2
Adenovirus squirrel/96-29/KOR,South Korea,2
Adenovirus squirrel/GBR/SG-2012,United Kingdom,2
Adintovirus sp.,USA,23
Adler hantavirus,Russia,25
Adonis mosaic virus,Japan,12
Adoxophyes honmai entomopoxvirus,Japan,494
Adoxophyes orana granulovirus,Czech Republic,4
Adoxophyes orana granulovirus,Japan,148
Adoxophyes orana nucleopolyhedrovirus,United Kingdom,242
Aedes Ifla-like virus,Switzerland,1
Aedes aegypti Thai densovirus,Thailand,14
Aedes aegypti To flavivirus-like,Brazil,1
Aedes aegypti To virus 1,Brazil,2
Aedes aegypti To virus 2,Brazil,3
Aedes aegypti anphevirus,Australia,4
Aedes aegypti anphevirus,Guadeloupe,32
Aedes aegypti anphevirus,USA,1
Aedes aegypti toti-like virus,Guadeloupe,4
Aedes aegypti totivirus,Ghana,2
Aedes aegypti totivirus,Guadeloupe,32
Aedes aegypti totivirus,USA,13
Aedes aegypti totivirus 2,Brazil,3
Aedes aegypti virga-like virus,Ghana,2
Aedes alboannulatus orthomyxo-like virus,Australia,4
Aedes alboannulatus toti-like virus 1,Australia,4
Aedes albopictus anphevirus,USA,7
Aedes albopictus densovirus 5,China,3
Aedes albopictus densovirus 7,China,3
Aedes albopictus negev-like virus,Australia,6
Aedes angustivittatus narnavirus,Mexico,1
Aedes anphevirus,Colombia,3
Aedes anphevirus,French Guiana,2
Aedes anphevirus,French Polynesia,4
Aedes anphevirus,Gabon,3
Aedes anphevirus,India,7
Aedes anphevirus,Kenya,6
Aedes anphevirus,Malaysia,5
Aedes anphevirus,Mexico,4
Aedes anphevirus,Thailand,21
Aedes anphevirus,USA,20
Aedes birnavirus,Australia,4
Aedes camptorhynchus negev-like virus,Australia,10
Aedes camptorhynchus reo-like virus,Australia,8
Aedes camptorhynchus toti-like virus 1,Australia,4
Aedes detritus orthomyxo-like virus,Greece,4
Aedes flavivirus,Brazil,1
Aedes flavivirus,China,16
Aedes flavivirus,India,4
Aedes flavivirus,Indonesia,1
Aedes flavivirus,Italy,8
Aedes flavivirus,Japan,34
Aedes flavivirus,Kenya,24
Aedes flavivirus,Mexico,2
Aedes flavivirus,Slovenia,3
Aedes flavivirus,South Korea,5
Aedes flavivirus,Switzerland,1
Aedes flavivirus,Thailand,1
Aedes flavivirus,Turkey,7
Aedes flavivirus,USA,1
Aedes galloisi flavivirus,Japan,2
Aedes iflavi-like virus 1,Brazil,3
Aedes iflavi-like virus 2,Brazil,2
Aedes japonicus narnavirus 1,Japan,2
Aedes japonicus narnavirus 1,Netherlands,2
Aedes notoscriptus flavivirus,Australia,2
Aedes permutotetra-like virus 1,Brazil,1
Aedes permutotetra-like virus 2,Brazil,2
Aedes phasmavirus,China,27
Aedes pseudoscutellaris reovirus,France,18
Aedes pseudoscutellaris reovirus,Ghana,9
Aedes rhabdo-like virus,Brazil,1
Aedes sobemo-like virus,Brazil,4
Aedes sollicitans nucleopolyhedrovirus,USA,2
Aedes taeniorhynchus narnavirus,Mexico,1
Aedes vexans iflavirus,Senegal,1
Aegithalos caudatus CRESS-DNA-virus sp.,China,1
Aegithalos caudatus Genomoviridae sp.,China,6
Aegithalos caudatus ambidensovirus,China,4
Aegithalos caudatus parvoviridae sp.,China,11
Aeonium ringspot virus,Italy,4
Aeribacillus virus AP45,Russia,146
Aerococcus phage vB_AviM_AVP,China,165
Aeromonas phage 13AhydR10PP,Poland,80
Aeromonas phage 14AhydR10PP,Poland,82
Aeromonas phage 2_D05,China,166
Aeromonas phage 4_4512,China,62
Aeromonas phage 4_D05,China,148
Aeromonas phage 4_L372X,China,82
Aeromonas phage 50AhydR13PP,Poland,490
Aeromonas phage 60AhydR15PP,Poland,494
Aeromonas phage 62AhydR11PP,Poland,64
Aeromonas phage 85AhydR10PP,Poland,80
Aeromonas phage AP1,India,455
Aeromonas phage Ah1,Russia,664
Aeromonas phage AhyVDH1,China,59
Aeromonas phage Akh-2,South Korea,223
Aeromonas phage Atoyac1,Mexico,46
Aeromonas phage Atoyac10,Mexico,46
Aeromonas phage Atoyac13,Mexico,46
Aeromonas phage Atoyac14,Mexico,46
Aeromonas phage Atoyac15,Mexico,50
Aeromonas phage Atoyac23,Mexico,46
Aeromonas phage BUCT551,China,148
Aeromonas phage BUCT552,China,74
Aeromonas phage BUCT695,China,127
Aeromonas phage CF8,India,244
Aeromonas phage D3,India,267
Aeromonas phage D6,India,267
Aeromonas phage D9,India,271
Aeromonas phage HJG,China,26
Aeromonas phage LAh1,Australia,45
Aeromonas phage LAh10,Australia,228
Aeromonas phage LAh2,Australia,45
Aeromonas phage LAh3,Australia,50
Aeromonas phage LAh4,Australia,52
Aeromonas phage LAh5,Australia,53
Aeromonas phage LAh_7,Australia,150
Aeromonas phage MJG,China,35
Aeromonas phage PAS-1,South Korea,7
Aeromonas phage PS,India,49
Aeromonas phage PS1,India,247
Aeromonas phage PS2,India,249
Aeromonas phage PVN02,Viet Nam,64
Aeromonas phage PVN03,Viet Nam,64
Aeromonas phage PVN04,Viet Nam,65
Aeromonas phage PVN05,Viet Nam,66
Aeromonas phage PZL-Ah1,China,44
Aeromonas phage PZL-Ah152,China,54
Aeromonas phage PZL-Ah8,China,52
Aeromonas phage V46,Finland,1
Aeromonas phage VTCCBP2,India,1
Aeromonas phage VTCCBPA5,India,1
Aeromonas phage pAh6.2TG,Viet Nam,65
Aeromonas phage phiARM81ld,Poland,61
Aeromonas phage phiARM81mr,Poland,70
Aeromonas phage phiAS5,South Korea,686
Aeromonas phage vB_AhyS-A18P4,China,146
Aeromonas phage vB_AsM_ZHF,China,237
Aeromonas phage vB_AsaM_LPM4,Canada,55
Aeromonas virus 25AhydR2PP,Poland,102
Aeromonas virus 2L372D,China,434
Aeromonas virus 2L372X,China,422
Aeromonas virus 4-4572,China,308
Aeromonas virus 4L372D,China,502
Aeromonas virus 4L372XY,China,442
Aeromonas virus 56,France,166
Aeromonas virus A8-29,China,370
Aeromonas virus AS4,South Korea,542
Aeromonas virus AS7,South Korea,102
Aeromonas virus CC2,China,854
Aeromonas virus CF7,India,98
Aeromonas virus LAh6,Australia,328
Aeromonas virus LAh8,Australia,286
Aeromonas virus LAh9,Australia,294
Aeromonas virus pAh6C,South Korea,172
Aeropyrum coil-shaped virus,Japan,114
Aeropyrum globular virus 1,Japan,66
Aeropyrum pernix bacilliform virus 1,Japan,28
Aesopia cornuta ranavirus,Taiwan,2
African cassava mosaic Burkina Faso virus,Burkina Faso,34
African cassava mosaic virus,Angola,65
African cassava mosaic virus,Benin,9
African cassava mosaic virus,Burkina Faso,116
African cassava mosaic virus,Cameroon,44
African cassava mosaic virus,Central African Republic,542
African cassava mosaic virus,Chad,29
African cassava mosaic virus,Cote d'Ivoire,10
African cassava mosaic virus,Democratic Republic of the Congo,153
African cassava mosaic virus,Gabon,346
African cassava mosaic virus,Ghana,628
African cassava mosaic virus,India,2
African cassava mosaic virus,Kenya,114
African cassava mosaic virus,Madagascar,576
African cassava mosaic virus,Malawi,4
African cassava mosaic virus,Nigeria,133
African cassava mosaic virus,Pakistan,49
African cassava mosaic virus,Tanzania,6
African cassava mosaic virus,Togo,10
African cassava mosaic virus,USA,1
African cassava mosaic virus,Uganda,140
African cassava mosaic virus,Zambia,57
African cichlid hepadnavirus,Zambia,1
African cichlid nackednavirus,Zambia,5
African eggplant mosaic virus,Tanzania,2
African eggplant yellowing virus,Benin,3
African eggplant yellowing virus,Mali,18
African horse sickness virus,Chad,21
