Species,Collection_Date,Count
Japanese encephalitis virus,1943.0,1
Potato virus Y,1943.0,4
Ntaya virus,1943.0,1
Influenza A virus,1943.0,32
California encephalitis orthobunyavirus,1943.0,6
Bluetongue virus,1943.0,10
Naples virus,1944.0,3
Bluetongue virus,1944.0,10
Dengue virus,1944.0,8
Cardiovirus A,1944.0,1
Avian orthoavulavirus 1,1944.0,2
Rift Valley fever phlebovirus,1944.0,7
Foot-and-mouth disease virus,1944.0,2
Broad bean wilt virus 1,1945.0,2
Avian orthoavulavirus 1,1945.0,1
Influenza A virus,1945.0,8
Goatpox virus,1946.0,28
Western equine encephalitis virus,1946.0,2
Influenza A virus,1946.0,25
Yellow fever virus,1946.0,1
Variola virus,1946.0,2
Japanese encephalitis virus,1946.0,2
Avian orthoavulavirus 1,1946.0,6
Lymphocytic choriomeningitis mammarenavirus,1947.0,2
Avian orthoavulavirus 1,1947.0,3
Japanese encephalitis virus,1947.0,2
Eastern equine encephalitis virus,1947.0,1
Equine infectious anemia virus,1947.0,1
Influenza C virus,1947.0,6
Foot-and-mouth disease virus,1947.0,2
Zika virus,1947.0,15
Murine coronavirus,1947.0,2
Influenza A virus,1947.0,33
Variola virus,1947.0,3
Apis mellifera filamentous virus,1947.0,1
Rabies lyssavirus,1948.0,2
Avian orthoavulavirus 1,1948.0,6
Citrus leprosis virus,1948.0,7
Variola virus,1948.0,1
Omsk hemorrhagic fever virus,1948.0,1
Mammalian 1 orthobornavirus,1948.0,1
Japanese encephalitis virus,1948.0,2
Influenza A virus,1948.0,24
Trivittatus orthobunyavirus,1948.0,6
Foot-and-mouth disease virus,1948.0,1
Rinderpest morbillivirus,1949.0,2
Enterovirus A,1949.0,1
Japanese encephalitis virus,1949.0,4
African swine fever virus,1949.0,7
Fowl aviadenovirus A,1949.0,1
Myxoma virus,1949.0,2
Enterovirus B,1949.0,1
Influenza A virus,1949.0,45
Lymphocytic choriomeningitis mammarenavirus,1949.0,1
Japanese encephalitis virus,1950.0,1
Foot-and-mouth disease virus,1950.0,2
Myxoma virus,1950.0,1
Rabies lyssavirus,1950.0,3
Saint Louis encephalitis virus,1950.0,1
Influenza C virus,1950.0,3
Mumps orthorubulavirus,1950.0,1
Avian orthoavulavirus 1,1950.0,2
Western equine encephalitis virus,1950.0,1
Influenza A virus,1950.0,30
Myxoma virus,1951.0,1
Rift Valley fever phlebovirus,1951.0,8
Variola virus,1951.0,2
Japanese encephalitis virus,1951.0,1
Avian orthoavulavirus 1,1951.0,2
Eastern equine encephalitis virus,1951.0,1
Human alphaherpesvirus 1,1951.0,2
Pestivirus C,1951.0,2
Influenza A virus,1951.0,49
Tick-borne encephalitis virus,1951.0,2
Japanese encephalitis virus,1952.0,2
African horse sickness virus,1952.0,10
Spondweni virus,1952.0,1
Qualyub virus,1952.0,3
Qalyub orthonairovirus,1952.0,9
Tick-borne encephalitis virus,1952.0,2
Sindbis virus,1952.0,2
Myxoma virus,1952.0,2
Wad Medani virus,1952.0,20
Foot-and-mouth disease virus,1952.0,1
Enterovirus A,1952.0,1
Vibrio phage 11895-B1,1952.0,2
Alphacoronavirus 1,1952.0,1
Variola virus,1952.0,1
Enterovirus C,1952.0,2
Chikungunya virus,1953.0,1
Myxoma virus,1953.0,1
Saint Louis encephalitis virus,1953.0,1
West Nile virus,1953.0,1
Human mastadenovirus C,1953.0,3
Bluetongue virus,1953.0,23
Variola virus,1953.0,2
Human mastadenovirus E,1953.0,1
Western equine encephalitis virus,1953.0,2
Tick-borne encephalitis virus,1953.0,1
Rinderpest morbillivirus,1953.0,1
Hepacivirus C,1953.0,2
Vaccinia virus,1953.0,1
Sindbis virus,1953.0,2
Dengue virus,1953.0,2
Eastern equine encephalitis virus,1953.0,1
Lamium mild mosaic virus,1953.0,4
Semliki Forest virus,1953.0,1
Influenza A virus,1953.0,24
Foot-and-mouth disease virus,1953.0,2
Mumps orthorubulavirus,1954.0,3
Sindbis virus,1954.0,1
Marituba orthobunyavirus,1954.0,15
Wad Medani virus,1954.0,10
Wanowrie virus,1954.0,3
Oriboca orthobunyavirus,1954.0,15
Manzanilla orthobunyavirus,1954.0,3
Measles morbillivirus,1954.0,1
Tick-borne encephalitis virus,1954.0,2
Human mastadenovirus A,1954.0,1
Rabies lyssavirus,1954.0,1
Mayaro virus,1954.0,1
Rinderpest morbillivirus,1954.0,2
African swine fever virus,1954.0,1
Avian coronavirus,1954.0,1
Ganjam virus,1954.0,3
Bhanja bandavirus,1954.0,6
Turlock orthobunyavirus,1954.0,3
Chenuda virus,1954.0,20
Nairobi sheep disease orthonairovirus,1954.0,2
Lumpy skin disease virus,1954.0,3
Yellow fever virus,1954.0,1
Influenza C virus,1954.0,7
Myxoma virus,1954.0,2
Influenza A virus,1954.0,32
Getah virus,1955.0,4
Triniti orthobunyavirus,1955.0,3
Marituba orthobunyavirus,1955.0,12
Bimiti orthobunyavirus,1955.0,6
Mayaro virus,1955.0,3
Wyeomyia orthobunyavirus,1955.0,6
Hart Park hapavirus,1955.0,4
Avian orthoavulavirus 1,1955.0,1
Wesselsbron virus,1955.0,6
Tacaiuma orthobunyavirus,1955.0,6
Epizootic hemorrhagic disease virus,1955.0,20
Oropouche orthobunyavirus,1955.0,3
Yellow fever virus,1955.0,2
Guama orthobunyavirus,1955.0,6
Human mastadenovirus B,1955.0,1
Catu orthobunyavirus,1955.0,6
Rift Valley fever phlebovirus,1955.0,20
Myxoma virus,1955.0,2
Madariaga virus,1955.0,1
West Nile virus,1955.0,2
Melao orthobunyavirus,1955.0,6
Foot-and-mouth disease virus,1955.0,2
Simian adenovirus 2,1955.0,1
Aruac virus,1955.0,2
Turlock orthobunyavirus,1955.0,7
Kairi orthobunyavirus,1955.0,3
Batai orthobunyavirus,1955.0,6
Brucella virus Tb,1955.0,3
Sindbis virus,1955.0,1
Japanese encephalitis virus,1955.0,2
Saint Louis encephalitis virus,1955.0,3
Omsk hemorrhagic fever virus,1955.0,1
Bwamba orthobunyavirus,1955.0,4
Anopheles A orthobunyavirus,1955.0,6
Apeu orthobunyavirus,1955.0,6
Bluetongue virus,1955.0,20
Human mastadenovirus D,1955.0,7
Spondweni virus,1955.0,1
Tomato black ring virus,1955.0,2
Myxoma virus,1956.0,1
Turlock orthobunyavirus,1956.0,6
Lebombo virus,1956.0,20
Beet ringspot virus,1956.0,2
Goatpox virus,1956.0,1
Rio Bravo virus,1956.0,1
Avian coronavirus,1956.0,2
Bovine alphaherpesvirus 1,1956.0,3
Caraparu orthobunyavirus,1956.0,15
Human orthopneumovirus,1956.0,2
Bovine fever ephemerovirus,1956.0,1
Nairobi sheep disease orthonairovirus,1956.0,2
Getah virus,1956.0,1
Murray Valley encephalitis virus,1956.0,2
Crimean-Congo hemorrhagic fever orthonairovirus,1956.0,7
Japanese encephalitis virus,1956.0,3
Cache Valley orthobunyavirus,1956.0,6
Influenza A virus,1956.0,111
Spodoptera littoralis nucleopolyhedrovirus,1956.0,2
Avian metaavulavirus 2,1956.0,3
Navarro virus,1956.0,1
Vibrio phage vB_VchM-138,1956.0,2
Rift Valley fever phlebovirus,1956.0,4
Bluetongue virus,1956.0,20
Madariaga virus,1956.0,2
Madrid orthobunyavirus,1956.0,6
Tacaribe mammarenavirus,1956.0,2
Langat virus,1956.0,1
Bakau orthobunyavirus,1956.0,6
Guaroa orthobunyavirus,1956.0,3
Chikungunya virus,1956.0,1
Human betaherpesvirus 5,1956.0,2
Simian adenovirus 2,1956.0,3
Lagos bat lyssavirus,1956.0,8
Human mastadenovirus D,1956.0,5
Kern Canyon ledantevirus,1956.0,3
Rabies lyssavirus,1956.0,9
Dengue virus,1956.0,9
Sindbis virus,1956.0,1
Human betaherpesvirus 5,1957.0,1
Mumps orthorubulavirus,1957.0,3
Turnip rosette virus,1957.0,3
Ilheus virus,1957.0,1
Mayaro virus,1957.0,2
Kairi orthobunyavirus,1957.0,6
Human respirovirus 1,1957.0,1
Influenza A virus,1957.0,226
Kaisodi uukuvirus,1957.0,10
Marituba orthobunyavirus,1957.0,3
Dengue virus,1957.0,1
Potato virus Y,1957.0,1
Foot-and-mouth disease virus,1957.0,2
Tomato black ring virus,1957.0,2
Anatid alphaherpesvirus 1,1957.0,1
Bertioga orthobunyavirus,1957.0,6
Cercopithecine betaherpesvirus 5,1957.0,1
Human mastadenovirus B,1957.0,1
Tick-borne encephalitis virus,1957.0,2
West Nile virus,1957.0,3
Rabies lyssavirus,1957.0,1
Hepatovirus A,1957.0,7
Kyasanur Forest disease virus,1957.0,5
Maguari orthobunyavirus,1957.0,9
Enterovirus B,1957.0,6
Teschovirus A,1957.0,1
Simian mastadenovirus A,1957.0,3
Heterobasidion partitivirus 14,1957.0,1
Wesselsbron virus,1957.0,9
Staphylococcus phage 812,1957.0,3
Middelburg virus,1957.0,1
Turlock orthobunyavirus,1957.0,4
Simian adenovirus 17,1957.0,1
Batai orthobunyavirus,1957.0,6
African swine fever virus,1957.0,9
Chikungunya virus,1958.0,2
Reticuloendotheliosis virus,1958.0,1
Foot-and-mouth disease virus,1958.0,2
Bluetongue virus,1958.0,41
San Angelo orthobunyavirus,1958.0,6
La Joya hapavirus,1958.0,3
Enterovirus A,1958.0,1
Crimean-Congo hemorrhagic fever orthonairovirus,1958.0,3
Simian mastadenovirus A,1958.0,9
Human mastadenovirus D,1958.0,1
Capim orthobunyavirus,1958.0,9
Simian mastadenovirus D,1958.0,2
Simian adenovirus 12,1958.0,4
Pacora virus,1958.0,3
Witwatersrand orthobunyavirus,1958.0,6
Japanese encephalitis virus,1958.0,3
Cucurbitaria piceae virus 1,1958.0,2
Rinderpest morbillivirus,1958.0,2
Human mastadenovirus G,1958.0,1
Mumps orthorubulavirus,1958.0,2
Madariaga virus,1958.0,1
Rotavirus A,1958.0,35
Simian adenovirus 8,1958.0,2
Simian adenovirus 5,1958.0,4
Potato virus Y,1958.0,1
Pestivirus C,1958.0,3
Influenza A virus,1958.0,55
Tick-borne encephalitis virus,1958.0,8
Kedougou virus,1958.0,1
Spondweni virus,1958.0,9
Western equine encephalitis virus,1958.0,1
Tahyna orthobunyavirus,1958.0,8
Kyasanur Forest disease virus,1958.0,1
Bovine alphaherpesvirus 1,1958.0,1
Apple stem grooving virus,1958.0,2
West Nile virus,1958.0,4
Clostridium phage D-1873,1958.0,8
Powassan virus,1958.0,1
Human mastadenovirus B,1958.0,1
Western equine encephalitis virus,1959.0,1
Avian orthoavulavirus 1,1959.0,1
Marituba orthobunyavirus,1959.0,3
Enterovirus C,1959.0,1
Madariaga virus,1959.0,1
Orungo virus,1959.0,20
African horse sickness virus,1959.0,4
Cauliflower mosaic virus,1959.0,1
Kyasanur Forest disease virus,1959.0,2
Lychnis ringspot virus,1959.0,3
Lumpy skin disease virus,1959.0,1
African swine fever virus,1959.0,20
Usutu virus,1959.0,2
Salehabad phlebovirus,1959.0,6
Oriboca orthobunyavirus,1959.0,6
Spondweni virus,1959.0,4
Eastern equine encephalitis virus,1959.0,2
Akabane orthobunyavirus,1959.0,5
Ross River virus,1959.0,2
Ingwavuma orthobunyavirus,1959.0,6
Ndumu virus,1959.0,1
Karimabad phlebovirus,1959.0,3
Snowshoe hare orthobunyavirus,1959.0,6
Bluetongue virus,1959.0,70
Human mastadenovirus D,1959.0,3
Chikungunya virus,1959.0,1
Leptomonas seymouri Narna-like virus 1,1959.0,4
Sindbis virus,1959.0,3
Moju orthobunyavirus,1959.0,3
Tick-borne encephalitis virus,1959.0,3
Epizootic hemorrhagic disease virus,1959.0,10
Mossuril hapavirus,1959.0,4
Changuinola virus,1959.0,10
Enterovirus B,1959.0,4
Foot-and-mouth disease virus,1959.0,5
Nyando orthobunyavirus,1959.0,6
Wesselsbron virus,1959.0,4
Bushbush orthobunyavirus,1959.0,3
Israel turkey meningoencephalomyelitis virus,1959.0,1
Tete orthobunyavirus,1959.0,9
Guajara orthobunyavirus,1959.0,6
Influenza A virus,1959.0,47
Kyasanur Forest disease virus,1960.0,1
Lanjan virus,1960.0,1
Yellow fever virus,1960.0,1
Tensaw orthobunyavirus,1960.0,3
Tick-borne encephalitis virus,1960.0,10
Icoaraci phlebovirus,1960.0,6
Mumps orthorubulavirus,1960.0,6
Foot-and-mouth disease virus,1960.0,7
La Crosse orthobunyavirus,1960.0,3
Koongol orthobunyavirus,1960.0,9
Human immunodeficiency virus 1,1960.0,79
Wesselsbron virus,1960.0,1
West Nile virus,1960.0,8
Guaroa orthobunyavirus,1960.0,6
Corriparta virus,1960.0,20
Mayaro virus,1960.0,2
Bluetongue virus,1960.0,51
Sindbis virus,1960.0,3
Piry vesiculovirus,1960.0,4
Japanese encephalitis virus,1960.0,2
Citrus tristeza virus,1960.0,1
Jamestown Canyon orthobunyavirus,1960.0,3
Dengue virus,1960.0,4
Eastern equine encephalitis virus,1960.0,3
African swine fever virus,1960.0,10
Ananindeua orthobunyavirus,1960.0,3
Avian coronavirus,1960.0,3
Oropouche orthobunyavirus,1960.0,9
Silverwater uukuvirus,1960.0,6
Influenza A virus,1960.0,31
Saint Louis encephalitis virus,1960.0,1
Alphaarterivirus equid,1960.0,1
Batai orthobunyavirus,1960.0,2
Cucumber vein yellowing virus,1960.0,1
Spondweni virus,1960.0,1
Sowthistle yellow vein betanucleorhabdovirus,1960.0,1
Mammalian 1 orthobornavirus,1960.0,1
Highlands J virus,1960.0,2
Enterovirus B,1960.0,2
Madariaga virus,1960.0,1
Mapputta orthobunyavirus,1960.0,6
Chikungunya virus,1960.0,1
Macacine alphaherpesvirus 1,1960.0,1
Cache Valley orthobunyavirus,1961.0,7
Monkeypox virus,1961.0,1
Nairobi sheep disease orthonairovirus,1961.0,13
Jamestown Canyon orthobunyavirus,1961.0,9
Changuinola virus,1961.0,42
Foot-and-mouth disease virus,1961.0,1
Vibrio phage 919TP,1961.0,1
Bacillus phage SP8,1961.0,1
Yellow fever virus,1961.0,5
Flanders hapavirus,1961.0,3
Pixuna virus,1961.0,1
Madrid orthobunyavirus,1961.0,6
Raccoonpox virus,1961.0,1
Sororoca orthobunyavirus,1961.0,6
Eastern equine encephalitis virus,1961.0,1
Kokobera virus,1961.0,3
African horse sickness virus,1961.0,80
Gabek phlebovirus,1961.0,6
Enterovirus C,1961.0,1
Enterovirus B,1961.0,4
Venezuelan equine encephalitis virus,1961.0,6
Pacui pacuvirus,1961.0,6
Acara orthobunyavirus,1961.0,3
African swine fever virus,1961.0,12
Buttonwillow orthobunyavirus,1961.0,3
Rinderpest morbillivirus,1961.0,4
Cotia virus,1961.0,3
Cocal vesiculovirus,1961.0,2
Human orthopneumovirus,1961.0,3
Influenza A virus,1961.0,33
Rubivirus rubellae,1961.0,2
Dengue virus,1961.0,2
Alphapapillomavirus 9,1961.0,1
Alphaarterivirus equid,1961.0,1
Mayaro virus,1961.0,1
Apeu orthobunyavirus,1961.0,3
I612045 virus,1961.0,3
Oropouche orthobunyavirus,1961.0,15
Cat Que orthobunyavirus,1961.0,3
Goatpox virus,1961.0,4
Matruh orthobunyavirus,1961.0,3
Mumps orthorubulavirus,1961.0,3
Sindbis virus,1961.0,1
Zegla orthobunyavirus,1961.0,9
Matariya virus,1961.0,2
Western equine encephalitis virus,1961.0,1
Patois orthobunyavirus,1961.0,3
Bushbush orthobunyavirus,1962.0,3
Rift Valley fever phlebovirus,1962.0,5
Avian orthoavulavirus 1,1962.0,3
Timbo virus,1962.0,1
Mumps orthorubulavirus,1962.0,9
Dengue virus,1962.0,7
Human orthopneumovirus,1962.0,2
Lymphocystis disease virus 1,1962.0,1
Zika virus,1962.0,1
Bovine rhinitis A virus,1962.0,2
Venezuelan equine encephalitis virus,1962.0,4
Barur ledantevirus,1962.0,3
Omsk hemorrhagic fever virus,1962.0,2
Anopheles B orthobunyavirus,1962.0,3
Tick-borne encephalitis virus,1962.0,1
Anhanga phlebovirus,1962.0,6
Influenza A virus,1962.0,9
Chikungunya virus,1962.0,2
Suid alphaherpesvirus 1,1962.0,3
Marco hapavirus,1962.0,4
Avian coronavirus,1962.0,2
African swine fever virus,1962.0,4
Anatid alphaherpesvirus 1,1962.0,1
Lumbo orthbunyavirus,1962.0,6
Hughes orthonairovirus,1962.0,10
Foot-and-mouth disease virus,1962.0,6
Kyasanur Forest disease virus,1962.0,3
Oak looper alphabaculovirus,1962.0,1
Pestivirus A,1962.0,1
Madariaga virus,1962.0,2
African horse sickness virus,1962.0,240
Eastern equine encephalitis virus,1962.0,2
Itaporanga phlebovirus,1962.0,6
Louping ill virus,1962.0,1
Changuinola virus,1962.0,10
Enterovirus B,1962.0,3
Tanga virus,1962.0,3
Klamath tupavirus,1962.0,4
Great Island virus,1962.0,14
Sindbis virus,1962.0,2
Bujaru phlebovirus,1962.0,6
Epizootic hemorrhagic disease virus,1962.0,10
Rinderpest morbillivirus,1962.0,4
Bunyamwera orthobunyavirus,1962.0,7
Tahyna orthobunyavirus,1962.0,3
Cotia virus,1962.0,1
Gamboa orthobunyavirus,1962.0,3
Jurona vesiculovirus,1962.0,4
Piscine novirhabdovirus,1962.0,2
Batai orthobunyavirus,1962.0,6
Bovine alphaherpesvirus 5,1962.0,1
Chaco sripuvirus,1962.0,4
Saint Louis encephalitis virus,1962.0,2
Enterovirus D,1962.0,3
Nariva narmovirus,1962.0,2
Nairobi sheep disease orthonairovirus,1962.0,22
Burg el Arab virus,1962.0,2
Western equine encephalitis virus,1962.0,1
Broad bean wilt virus 1,1963.0,1
African swine fever virus,1963.0,2
Bacillus phage AP631,1963.0,1
Enterovirus A,1963.0,2
Flanders hapavirus,1963.0,1
Arumowot phlebovirus,1963.0,3
Bacillus virus SP15,1963.0,2
Avian coronavirus,1963.0,1
Venezuelan equine encephalitis virus,1963.0,5
Rinderpest morbillivirus,1963.0,1
Uukuniemi uukuvirus,1963.0,3
Kammavanpettai virus,1963.0,10
Argentinian mammarenavirus,1963.0,2
Chikungunya virus,1963.0,3
Escherichia virus Qbeta,1963.0,2
Vesicular stomatitis virus,1963.0,2
Potato virus Y,1963.0,2
Escherichia virus JLK2012,1963.0,2
Pseudaletia betabaculovirus,1963.0,1
Balagodu virus,1963.0,3
Omsk hemorrhagic fever virus,1963.0,2
Tick-borne encephalitis virus,1963.0,9
Soldado orthonairovirus,1963.0,6
Patois orthobunyavirus,1963.0,10
Human coronavirus 229E,1963.0,1
Kannamangalam virus,1963.0,1
Henbane mosaic virus,1963.0,1
Malakal virus,1963.0,3
Hepatitis B virus,1963.0,33
Human respirovirus 3,1963.0,2
Highlands J virus,1963.0,1
Calovo virus,1963.0,3
Influenza A virus,1963.0,145
Olifantsvlei orthobunyavirus,1963.0,3
Simian adenovirus 19,1963.0,2
Sindbis virus,1963.0,8
Marituba orthobunyavirus,1963.0,12
Changuinola virus,1963.0,10
Sathuvachari virus,1963.0,10
Abu Mina orthonairovirus,1963.0,3
African horse sickness virus,1963.0,50
West Nile virus,1963.0,11
Enterovirus B,1963.0,2
Turlock orthobunyavirus,1963.0,10
Choristoneura viridis betabaculovirus,1963.0,1
Japanese encephalitis virus,1963.0,1
Zika virus,1963.0,1
Thimiri orthobunyavirus,1963.0,3
Tahyna orthobunyavirus,1963.0,12
Dengue virus,1963.0,10
Eubenangee virus,1963.0,20
Citrus tristeza virus,1963.0,2
Akabane orthobunyavirus,1963.0,3
Rift Valley fever phlebovirus,1963.0,2
Peridroma alphabaculovirus,1963.0,1
Jamestown Canyon orthobunyavirus,1963.0,3
Louping ill virus,1963.0,1
Nyando orthobunyavirus,1963.0,3
Mumps orthorubulavirus,1963.0,9
Foot-and-mouth disease virus,1963.0,3
Choristoneura murinana nucleopolyhedrovirus,1963.0,1
BeAn 58058 virus,1963.0,2
Obodhiang ephemerovirus,1963.0,1
Kowanyama virus,1963.0,3
La Crosse orthobunyavirus,1963.0,2
Alajuela orthobunyavirus,1963.0,6
Kyasanur Forest disease virus,1963.0,2
Tensaw orthobunyavirus,1963.0,6
Bunyamwera orthobunyavirus,1964.0,1
Gamboa orthobunyavirus,1964.0,3
Powassan virus,1964.0,1
Alphaarterivirus equid,1964.0,2
Dengue virus,1964.0,10
Buenaventura phlebovirus,1964.0,6
Cauliflower mosaic virus,1964.0,2
Jamestown Canyon orthobunyavirus,1964.0,1
Influenza C virus,1964.0,4
Rift Valley fever phlebovirus,1964.0,1
Alcelaphine gammaherpesvirus 1,1964.0,1
Pestivirus C,1964.0,1
Buttonwillow orthobunyavirus,1964.0,6
Aino orthobunyavirus,1964.0,4
Kyasanur Forest disease virus,1964.0,2
Mumps orthorubulavirus,1964.0,16
Maguari orthobunyavirus,1964.0,3
Oyo orthobunyavirus,1964.0,3
Chikungunya virus,1964.0,1
Rinderpest morbillivirus,1964.0,3
Alagoas vesiculovirus,1964.0,2
Agrotis segetum granulovirus,1964.0,2
Influenza A virus,1964.0,35
Enterovirus B,1964.0,2
Keystone orthobunyavirus,1964.0,6
Kwatta sunrhavirus,1964.0,3
Changuinola virus,1964.0,2
Mahogany Hammock orthobunyavirus,1964.0,3
Japanese encephalitis virus,1964.0,4
Sindbis virus,1964.0,6
Human alphaherpesvirus 3,1964.0,1
Keterah orthonairovirus,1964.0,3
Main Drain orthobunyavirus,1964.0,2
Mount Elgon bat ledantevirus,1964.0,3
Mermet orthobunyavirus,1964.0,6
Sawgrass sawgrhavirus,1964.0,2
Streptococcus phage T12,1964.0,2
Avian coronavirus,1964.0,1
Dugbe orthonairovirus,1964.0,3
Tahyna orthobunyavirus,1964.0,2
Mammalian orthorubulavirus 5,1964.0,1
Mythimna unipuncta granulovirus B,1964.0,2
Okola virus,1964.0,3
Shark River orthobunyavirus,1964.0,3
Getah virus,1964.0,2
Manawa virus,1964.0,3
Variola virus,1964.0,1
Epsilonarterivirus hemcep,1964.0,2
Apple stem grooving virus,1964.0,1
Acara orthobunyavirus,1964.0,3
Tick-borne encephalitis virus,1964.0,1
African swine fever virus,1964.0,11
Carnivore protoparvovirus 1,1964.0,1
Saint Louis encephalitis virus,1964.0,2
Highlands J virus,1964.0,1
Thottopalayam thottimvirus,1964.0,4
Raccoonpox virus,1964.0,17
Foot-and-mouth disease virus,1964.0,13
Venezuelan equine encephalitis virus,1964.0,1
Wyeomyia orthobunyavirus,1964.0,3
Hazara orthonairovirus,1964.0,7
Human alphaherpesvirus 1,1964.0,2
Henbane mosaic virus,1964.0,1
Qalyub orthonairovirus,1965.0,6
Human alphaherpesvirus 1,1965.0,2
Mythimna unipuncta nucleopolyhedrovirus,1965.0,2
Mumps orthorubulavirus,1965.0,9
Rotavirus A,1965.0,12
Machupo mammarenavirus,1965.0,2
Influenza A virus,1965.0,63
Foot-and-mouth disease virus,1965.0,4
