,Taxonomy,Collection_Date,Cumulative_Count,Count
118,Morbillivirus,1919.0,58,1
119,Measles morbillivirus,1919.0,2,1
120,All Species,1920.0,711,4
121,Nanovirus,1920.0,1,1
122,Paramyxoviridae,1920.0,59,1
123,Nanoviridae,1920.0,1,1
124,Picornaviridae,1920.0,6,2
125,Faba bean necrotic stunt virus,1920.0,1,1
126,Foot-and-mouth disease virus,1920.0,3,2
127,Measles morbillivirus,1920.0,3,1
128,Aphthovirus,1920.0,3,2
129,Morbillivirus,1920.0,59,1
130,Orthonairovirus,1921.0,1,1
131,Nairoviridae,1921.0,1,1
132,All Species,1921.0,713,2
133,Songling virus,1921.0,1,1
134,Arteriviridae,1921.0,1,1
135,Porcine reproductive and respiratory syndrome virus,1921.0,1,1
136,Orthonairovirus,1922.0,2,1
137,Nairoviridae,1922.0,2,1
138,Orthohepevirus A,1922.0,1,1
139,All Species,1922.0,715,2
140,Orthohepevirus,1922.0,1,1
141,Songling virus,1922.0,2,1
142,Hepeviridae,1922.0,1,1
143,Orthonairovirus,1923.0,3,1
144,Songling virus,1923.0,3,1
145,Nairoviridae,1923.0,3,1
146,All Species,1923.0,716,1
147,Geminiviridae,1924.0,6,1
148,Nairoviridae,1924.0,4,1
149,All Species,1924.0,719,3
150,Tomato yellow leaf curl virus,1924.0,1,1
151,Metapneumovirus,1924.0,1,1
152,Pneumoviridae,1924.0,1,1
153,Begomovirus,1924.0,6,1
154,Human metapneumovirus,1924.0,1,1
155,Songling virus,1924.0,4,1
156,Orthonairovirus,1924.0,4,1
157,Orthonairovirus,1925.0,5,1
158,Influenza A virus,1925.0,41,12
159,Orthomyxoviridae,1925.0,41,12
160,All Species,1925.0,732,13
161,Alphainfluenzavirus,1925.0,41,12
162,Nairoviridae,1925.0,5,1
163,Songling virus,1925.0,5,1
164,Songling virus,1926.0,6,1
165,Picornaviridae,1926.0,7,1
166,Aphthovirus,1926.0,4,1
167,Foot-and-mouth disease virus,1926.0,4,1
168,Orthonairovirus,1926.0,6,1
169,Nairoviridae,1926.0,6,1
170,All Species,1926.0,734,2
171,Flavivirus,1927.0,2,2
172,Flaviviridae,1927.0,6,2
173,All Species,1927.0,757,23
174,Alphainfluenzavirus,1927.0,61,20
175,Influenza A virus,1927.0,61,20
176,Orthonairovirus,1927.0,7,1
177,Yellow fever virus,1927.0,2,2
178,Songling virus,1927.0,7,1
179,Orthomyxoviridae,1927.0,61,20
180,Nairoviridae,1927.0,7,1
181,Orthonairovirus,1928.0,8,1
182,Songling virus,1928.0,8,1
183,Hepeviridae,1928.0,2,1
184,Nairoviridae,1928.0,8,1
185,Orthohepevirus A,1928.0,2,1
186,Orthohepevirus,1928.0,2,1
187,All Species,1928.0,759,2
188,Orthonairovirus,1929.0,9,1
189,Songling virus,1929.0,9,1
190,Picornaviridae,1929.0,9,2
191,All Species,1929.0,762,3
192,Aphthovirus,1929.0,6,2
193,Foot-and-mouth disease virus,1929.0,6,2
194,Nairoviridae,1929.0,9,1
195,Orthonairovirus,1930.0,11,2
196,Alphavirus,1930.0,5,3
197,Avian orthoavulavirus 1,1930.0,1,1
198,Songling virus,1930.0,11,2
199,Human immunodeficiency virus 1,1930.0,77,5
200,Retroviridae,1930.0,96,5
201,Lentivirus,1930.0,80,5
202,Nairoviridae,1930.0,11,2
203,Paramyxoviridae,1930.0,60,1
204,Avipoxvirus ID8926,1930.0,1,1
205,Western equine encephalitis virus,1930.0,3,3
206,Togaviridae,1930.0,5,3
207,Orthopoxvirus,1930.0,629,174
208,Poxviridae,1930.0,635,175
209,Ectromelia virus,1930.0,174,174
210,All Species,1930.0,948,186
211,Orthoavulavirus,1930.0,1,1
212,Avipoxvirus,1930.0,6,1
213,Human immunodeficiency virus 1,1931.0,139,62
214,Alphainfluenzavirus,1931.0,93,32
215,Hepeviridae,1931.0,3,1
216,Rhabdoviridae,1931.0,48,17
217,Flavivirus,1931.0,5,3
218,Orthohepadnavirus,1931.0,7,6
219,Orthomyxoviridae,1931.0,93,32
220,Lyssavirus,1931.0,25,17
221,Louping ill virus,1931.0,1,1
222,All Species,1931.0,1072,124
223,Saccharomyces paradoxus virus L-A-1939,1931.0,2,2
224,Orthohepevirus,1931.0,3,1
225,Lentivirus,1931.0,142,62
226,Saccharomyces paradoxus L-A virus M28-like satellite,1931.0,1,1
227,Totiviridae,1931.0,2,2
228,Influenza A virus,1931.0,93,32
229,Flaviviridae,1931.0,9,3
230,Orthohepevirus A,1931.0,3,1
231,Retroviridae,1931.0,158,62
232,West Nile virus,1931.0,2,2
233,Hepadnaviridae,1931.0,7,6
234,Rabies lyssavirus,1931.0,20,17
235,Hepatitis B virus,1931.0,7,6
236,Aphthovirus,1932.0,7,1
237,Kitaviridae,1932.0,18,18
238,Picornaviridae,1932.0,10,1
239,Citrus leprosis virus C,1932.0,18,18
240,Foot-and-mouth disease virus,1932.0,7,1
241,Cilevirus,1932.0,18,18
242,All Species,1932.0,1091,19
243,Flaviviridae,1933.0,10,1
244,Madariaga virus,1933.0,2,2
245,All Species,1933.0,1183,92
246,Togaviridae,1933.0,13,8
247,Reoviridae,1933.0,10,10
248,Saint Louis encephalitis virus,1933.0,1,1
249,Orbivirus,1933.0,10,10
250,Influenza A virus,1933.0,166,73
251,Orthomyxoviridae,1933.0,166,73
252,Alphainfluenzavirus,1933.0,166,73
253,Eastern equine encephalitis virus,1933.0,6,6
254,Flavivirus,1933.0,6,1
255,Alphavirus,1933.0,13,8
256,African horse sickness virus,1933.0,10,10
257,Vesivirus,1934.0,3,3
258,Togaviridae,1934.0,15,2
259,Influenza A virus,1934.0,665,499
260,Caliciviridae,1934.0,8,3
261,Picornaviridae,1934.0,12,2
262,Vesicular exanthema of swine virus,1934.0,3,3
263,Eastern equine encephalitis virus,1934.0,8,2
264,All Species,1934.0,1689,506
265,Aphthovirus,1934.0,9,2
266,Foot-and-mouth disease virus,1934.0,9,2
267,Alphainfluenzavirus,1934.0,665,499
268,Orthomyxoviridae,1934.0,665,499
269,Alphavirus,1934.0,15,2
270,Japanese encephalitis virus,1935.0,4,4
271,Mammarenavirus,1935.0,6,6
272,Flavivirus,1935.0,10,4
273,Eastern equine encephalitis virus,1935.0,10,2
274,Rabies lyssavirus,1935.0,22,2
275,Influenza A virus,1935.0,743,78
276,Togaviridae,1935.0,17,2
277,Arenaviridae,1935.0,6,6
278,Rhabdoviridae,1935.0,50,2
279,Lyssavirus,1935.0,27,2
280,All Species,1935.0,1781,92
281,Lymphocytic choriomeningitis mammarenavirus,1935.0,6,6
282,Alphavirus,1935.0,17,2
283,Flaviviridae,1935.0,14,4
284,Orthomyxoviridae,1935.0,743,78
285,Alphainfluenzavirus,1935.0,743,78
286,Influenza A virus,1936.0,754,11
287,Eastern equine encephalitis virus,1936.0,11,1
288,Avipoxvirus,1936.0,7,1
289,Madariaga virus,1936.0,4,2
290,All Species,1936.0,1806,25
291,Togaviridae,1936.0,20,3
292,Avipoxvirus ID8964,1936.0,1,1
293,Poxviridae,1936.0,636,1
294,Alphavirus,1936.0,20,3
295,Reoviridae,1936.0,20,10
296,Orbivirus,1936.0,20,10
297,Orthomyxoviridae,1936.0,754,11
298,Alphainfluenzavirus,1936.0,754,11
299,African horse sickness virus,1936.0,20,10
300,Cilevirus,1937.0,36,18
301,Herpesviridae,1937.0,20,20
302,Kitaviridae,1937.0,36,18
303,Citrus leprosis virus C,1937.0,36,18
304,Orthobunyavirus,1937.0,16,10
305,All Species,1937.0,1880,74
306,Bluetongue virus,1937.0,21,21
307,Bwamba orthobunyavirus,1937.0,10,10
308,Peribunyaviridae,1937.0,20,10
309,Flavivirus,1937.0,15,5
310,Tick-borne encephalitis virus,1937.0,5,5
311,Simplexvirus,1937.0,20,20
312,Reoviridae,1937.0,41,21
313,Human alphaherpesvirus 1,1937.0,20,20
314,Orbivirus,1937.0,41,21
315,Flaviviridae,1937.0,19,5
316,Alphavirus,1938.0,25,5
317,Potyviridae,1938.0,2,2
318,All Species,1938.0,1951,71
319,African horse sickness virus,1938.0,30,10
320,Koala retrovirus,1938.0,19,3
321,Venezuelan equine encephalitis virus,1938.0,4,2
322,Eastern equine encephalitis virus,1938.0,12,1
323,Western equine encephalitis virus,1938.0,5,2
324,Togaviridae,1938.0,25,5
325,Orbivirus,1938.0,51,10
326,Human alphaherpesvirus 1,1938.0,71,51
327,Simplexvirus,1938.0,71,51
328,Gammaretrovirus,1938.0,19,3
329,Reoviridae,1938.0,51,10
330,Potyvirus,1938.0,2,2
331,Potato virus Y,1938.0,2,2
332,Retroviridae,1938.0,161,3
333,Herpesviridae,1938.0,71,51
334,Flaviviridae,1939.0,21,2
335,Cilevirus,1939.0,45,9
336,All Species,1939.0,1965,14
337,Lyssavirus,1939.0,30,3
338,Japanese encephalitis virus,1939.0,6,2
339,Rabies lyssavirus,1939.0,25,3
340,Flavivirus,1939.0,17,2
341,Citrus leprosis virus C,1939.0,45,9
342,Rhabdoviridae,1939.0,53,3
343,Kitaviridae,1939.0,45,9
344,Peribunyaviridae,1940.0,35,15
345,Betainfluenzavirus,1940.0,11,11
346,Anopheles A orthobunyavirus,1940.0,6,3
347,Grapevine red blotch virus,1940.0,6,6
348,Orbivirus,1940.0,61,10
349,Luteovirus,1940.0,2,2
350,African horse sickness virus,1940.0,40,10
351,Geminiviridae,1940.0,12,6
352,Influenza B virus,1940.0,11,11
353,Alphainfluenzavirus,1940.0,777,23
354,Wyeomyia orthobunyavirus,1940.0,9,9
355,Potexvirus,1940.0,5,5
356,Alphaflexiviridae,1940.0,5,5
357,Orthomyxoviridae,1940.0,788,34
358,Orthobunyavirus,1940.0,31,15
359,Influenza A virus,1940.0,777,23
360,Anopheles B orthobunyavirus,1940.0,3,3
361,Tombusviridae,1940.0,2,2
362,Barley yellow dwarf virus PAV,1940.0,2,2
363,All Species,1940.0,2037,72
364,Grablovirus,1940.0,6,6
365,Reoviridae,1940.0,61,10
366,Potato virus X,1940.0,5,5
367,Flaviviridae,1941.0,25,4
368,Yellow fever virus,1941.0,3,1
369,Kitaviridae,1941.0,51,6
370,Herpesviridae,1941.0,72,1
371,Equid alphaherpesvirus 1,1941.0,1,1
372,Flavivirus,1941.0,21,4
373,Avian coronavirus,1941.0,22,22
374,Bluetongue virus,1941.0,53,32
375,Western equine encephalitis virus,1941.0,10,5
376,Reoviridae,1941.0,93,32
377,Varicellovirus,1941.0,1,1
378,Citrus leprosis virus C,1941.0,51,6
379,Coronaviridae,1941.0,22,22
380,Cilevirus,1941.0,51,6
381,Togaviridae,1941.0,30,5
382,Orbivirus,1941.0,93,32
383,Gammacoronavirus,1941.0,22,22
384,All Species,1941.0,2107,70
385,Alphavirus,1941.0,30,5
386,Tick-borne encephalitis virus,1941.0,8,3
387,Picornaviridae,1942.0,14,2
388,Alphainfluenzavirus,1942.0,813,36
389,Enterovirus,1942.0,4,1
390,Cardiovirus,1942.0,1,1
391,Flavivirus,1942.0,24,3
392,Togaviridae,1942.0,33,3
393,Orbivirus,1942.0,125,32
394,Enterovirus C,1942.0,3,1
395,All Species,1942.0,2183,76
396,Bluetongue virus,1942.0,85,32
397,Reoviridae,1942.0,125,32
398,Influenza A virus,1942.0,813,36
399,Semliki Forest virus,1942.0,3,3
400,Orthomyxoviridae,1942.0,824,36
401,Flaviviridae,1942.0,28,3
402,Cardiovirus A,1942.0,1,1
403,Tick-borne encephalitis virus,1942.0,11,3
404,Alphavirus,1942.0,33,3
405,Tick-borne encephalitis virus,1943.0,16,5
406,Bluetongue virus,1943.0,96,11
407,All Species,1943.0,2265,82
408,Foot-and-mouth disease virus,1943.0,10,1
409,Flavivirus,1943.0,31,7
410,Aphthovirus,1943.0,10,1
411,Ntaya virus,1943.0,1,1
412,Reoviridae,1943.0,136,11
413,Potato virus Y,1943.0,6,4
414,Japanese encephalitis virus,1943.0,7,1
415,Caulimovirus,1943.0,7,7
416,Alphainfluenzavirus,1943.0,857,44
417,California encephalitis orthobunyavirus,1943.0,8,8
418,Caulimoviridae,1943.0,7,7
419,Picornaviridae,1943.0,15,1
420,Peribunyaviridae,1943.0,43,8
421,Influenza A virus,1943.0,857,44
422,Potyviridae,1943.0,6,4
423,Orthobunyavirus,1943.0,39,8
424,Flaviviridae,1943.0,35,7
425,Potyvirus,1943.0,6,4
426,Orbivirus,1943.0,136,11
427,Cauliflower mosaic virus,1943.0,7,7
428,Orthomyxoviridae,1943.0,868,44
429,Flavivirus,1944.0,39,8
430,Paramyxoviridae,1944.0,62,2
431,Cardiovirus A,1944.0,2,1
432,Aphthovirus,1944.0,12,2
433,Cardiovirus,1944.0,2,1
434,Orthoavulavirus,1944.0,3,2
435,All Species,1944.0,2301,36
436,Phenuiviridae,1944.0,9,9
437,Flaviviridae,1944.0,43,8
438,Dengue virus,1944.0,8,8
439,Phlebovirus,1944.0,9,9
440,Orbivirus,1944.0,146,10
441,Picornaviridae,1944.0,18,3
442,Rift Valley fever phlebovirus,1944.0,9,9
443,Foot-and-mouth disease virus,1944.0,12,2
444,Reoviridae,1944.0,146,10
445,Naples virus,1944.0,4,4
446,Bluetongue virus,1944.0,106,10
447,Avian orthoavulavirus 1,1944.0,3,2
448,Influenza A virus,1945.0,868,11
449,Secoviridae,1945.0,2,2
450,Paramyxoviridae,1945.0,63,1
451,Fabavirus,1945.0,2,2
452,All Species,1945.0,2315,14
453,Orthoavulavirus,1945.0,4,1
454,Orthomyxoviridae,1945.0,879,11
455,Avian orthoavulavirus 1,1945.0,4,1
456,Broad bean wilt virus 1,1945.0,2,2
457,Alphainfluenzavirus,1945.0,868,11
458,Poxviridae,1946.0,666,30
459,Alphainfluenzavirus,1946.0,904,36
460,Avian orthoavulavirus 1,1946.0,16,12
461,Flavivirus,1946.0,42,3
462,Variola virus,1946.0,2,2
463,Yellow fever virus,1946.0,4,1
464,Capripoxvirus,1946.0,28,28
465,Paramyxoviridae,1946.0,75,12
466,Japanese encephalitis virus,1946.0,9,2
467,Orthopoxvirus,1946.0,631,2
468,Orthomyxoviridae,1946.0,915,36
469,Alphavirus,1946.0,36,3
470,Flaviviridae,1946.0,46,3
471,Western equine encephalitis virus,1946.0,13,3
472,Goatpox virus,1946.0,28,28
473,Influenza A virus,1946.0,904,36
474,All Species,1946.0,2399,84
475,Orthoavulavirus,1946.0,16,12
476,Togaviridae,1946.0,36,3
477,Gammainfluenzavirus,1947.0,7,7
478,Flavivirus,1947.0,54,12
479,Alphainfluenzavirus,1947.0,950,46
480,Apis mellifera filamentous virus,1947.0,1,1
481,Foot-and-mouth disease virus,1947.0,14,2
482,Variola virus,1947.0,5,3
483,Picornaviridae,1947.0,20,2
484,Mammarenavirus,1947.0,10,4
485,Murine coronavirus,1947.0,19,19
486,Zika virus,1947.0,10,10
487,Orthopoxvirus,1947.0,634,3
488,Lymphocytic choriomeningitis mammarenavirus,1947.0,10,4
489,Aphthovirus,1947.0,14,2
490,Orthomyxoviridae,1947.0,968,53
491,Influenza A virus,1947.0,950,46
492,Orthoavulavirus,1947.0,19,3
493,Flaviviridae,1947.0,58,12
494,Lentivirus,1947.0,143,1
495,Retroviridae,1947.0,162,1
496,Betacoronavirus,1947.0,19,19
497,Paramyxoviridae,1947.0,78,3
498,Avian orthoavulavirus 1,1947.0,19,3
499,Equine infectious anemia virus,1947.0,1,1
500,Arenaviridae,1947.0,10,4
501,Coronaviridae,1947.0,41,19
502,Poxviridae,1947.0,669,3
503,Japanese encephalitis virus,1947.0,11,2
504,Influenza C virus,1947.0,7,7
505,All Species,1947.0,2497,98
506,Avian orthoavulavirus 1,1948.0,33,14
507,Peribunyaviridae,1948.0,51,8
508,Japanese encephalitis virus,1948.0,13,2
509,Orthobunyavirus,1948.0,47,8
510,All Species,1948.0,2577,80
511,Flaviviridae,1948.0,61,3
512,Orthomyxoviridae,1948.0,1001,33
513,Picornaviridae,1948.0,21,1
514,Rabies lyssavirus,1948.0,35,10
515,Trivittatus orthobunyavirus,1948.0,8,8
516,Omsk hemorrhagic fever virus,1948.0,1,1
517,Aphthovirus,1948.0,15,1
518,Bornaviridae,1948.0,5,5
519,Paramyxoviridae,1948.0,92,14
520,Lyssavirus,1948.0,40,10
521,Variola virus,1948.0,6,1
522,Orthopoxvirus,1948.0,635,1
523,Poxviridae,1948.0,670,1
524,Flavivirus,1948.0,57,3
525,Influenza A virus,1948.0,983,33
526,Foot-and-mouth disease virus,1948.0,15,1
527,Orthobornavirus,1948.0,5,5
528,Mammalian 1 orthobornavirus,1948.0,5,5
529,Alphainfluenzavirus,1948.0,983,33
530,Orthoavulavirus,1948.0,33,14
531,Rhabdoviridae,1948.0,68,15
532,Citrus leprosis virus,1948.0,5,5
533,African swine fever virus,1949.0,197,197
534,Asfivirus,1949.0,197,197
535,Aviadenovirus,1949.0,38,38
536,Enterovirus B,1949.0,1,1
537,Alphainfluenzavirus,1949.0,1045,62
538,Flavivirus,1949.0,61,4
539,Myxoma virus,1949.0,339,339
540,Picornaviridae,1949.0,23,2
541,Enterovirus,1949.0,6,2
542,Japanese encephalitis virus,1949.0,17,4
543,Paramyxoviridae,1949.0,106,14
544,Orthomyxoviridae,1949.0,1063,62
545,Flaviviridae,1949.0,65,4
546,Rinderpest morbillivirus,1949.0,70,14
547,Arenaviridae,1949.0,12,2
548,Mammarenavirus,1949.0,12,2
549,Morbillivirus,1949.0,73,14
550,Adenoviridae,1949.0,38,38
551,Enterovirus A,1949.0,2,1
552,Influenza A virus,1949.0,1045,62
553,All Species,1949.0,3235,658
554,Lymphocytic choriomeningitis mammarenavirus,1949.0,12,2
555,Asfarviridae,1949.0,197,197
556,Leporipoxvirus,1949.0,339,339
557,Fowl aviadenovirus A,1949.0,38,38
558,Poxviridae,1949.0,1009,339
559,Foot-and-mouth disease virus,1950.0,17,2
560,Flavivirus,1950.0,63,2
561,Influenza C virus,1950.0,12,5
562,Picornaviridae,1950.0,25,2
563,Togaviridae,1950.0,38,2
564,Japanese encephalitis virus,1950.0,18,1
565,Paramyxoviridae,1950.0,110,4
566,Mumps orthorubulavirus,1950.0,1,1
567,Poxviridae,1950.0,1178,169
568,Alphavirus,1950.0,38,2
569,Avian orthoavulavirus 1,1950.0,36,3
570,Orthoavulavirus,1950.0,36,3
571,Flaviviridae,1950.0,67,2
572,Rabies lyssavirus,1950.0,42,7
573,Western equine encephalitis virus,1950.0,15,2
574,Saint Louis encephalitis virus,1950.0,2,1
575,Leporipoxvirus,1950.0,508,169
576,Lyssavirus,1950.0,47,7
577,Rhabdoviridae,1950.0,75,7
578,Gammainfluenzavirus,1950.0,12,5
579,Aphthovirus,1950.0,17,2
580,Orthorubulavirus,1950.0,1,1
581,All Species,1950.0,3467,232
582,Influenza A virus,1950.0,1086,41
583,Orthomyxoviridae,1950.0,1109,46
584,Myxoma virus,1950.0,508,169
585,Alphainfluenzavirus,1950.0,1086,41
586,Rift Valley fever phlebovirus,1951.0,19,10
587,Poxviridae,1951.0,1345,167
588,All Species,1951.0,3870,403
589,Pestivirus,1951.0,2,2
590,Orthomyxoviridae,1951.0,1177,68
591,Flaviviridae,1951.0,72,5
592,Pestivirus C,1951.0,2,2
593,Herpesviridae,1951.0,216,144
594,Togaviridae,1951.0,40,2
595,Simplexvirus,1951.0,215,144
596,Variola virus,1951.0,8,2
597,Orthoavulavirus,1951.0,43,7
598,Leporipoxvirus,1951.0,673,165
599,Avian orthoavulavirus 1,1951.0,43,7
600,Myxoma virus,1951.0,673,165
601,Human alphaherpesvirus 1,1951.0,215,144
602,Tick-borne encephalitis virus,1951.0,18,2
603,Phenuiviridae,1951.0,19,10
604,Alphainfluenzavirus,1951.0,1154,68
605,Orthopoxvirus,1951.0,637,2
606,Alphavirus,1951.0,40,2
607,Eastern equine encephalitis virus,1951.0,14,2
608,Phlebovirus,1951.0,19,10
609,Japanese encephalitis virus,1951.0,19,1
610,Influenza A virus,1951.0,1154,68
611,Flavivirus,1951.0,66,3
612,Paramyxoviridae,1951.0,117,7
613,Alphacoronavirus 1,1952.0,9,9
614,Orthonairovirus,1952.0,17,6
615,Enterovirus,1952.0,9,3
616,Poxviridae,1952.0,1681,336
617,Orbivirus,1952.0,180,34
618,Nairoviridae,1952.0,17,6
619,Leporipoxvirus,1952.0,1008,335
620,Alphacoronavirus,1952.0,9,9
621,Togaviridae,1952.0,45,5
622,Aphthovirus,1952.0,18,1
623,African horse sickness virus,1952.0,50,10
624,Flavivirus,1952.0,71,5
625,Myoviridae,1952.0,392,392
626,Qualyub virus,1952.0,3,3
627,Alphavirus,1952.0,45,5
628,Flaviviridae,1952.0,77,5
629,Coronaviridae,1952.0,50,9
630,All Species,1952.0,4664,794
631,Reoviridae,1952.0,180,34
632,Orthopoxvirus,1952.0,638,1
633,Wad Medani virus,1952.0,24,24
634,Myxoma virus,1952.0,1008,335
635,Enterovirus C,1952.0,5,2
636,Variola virus,1952.0,9,1
637,Vibrio phage 11895-B1,1952.0,392,392
638,Spondweni virus,1952.0,1,1
639,Sindbis virus,1952.0,5,5
640,Tick-borne encephalitis virus,1952.0,20,2
641,Foot-and-mouth disease virus,1952.0,18,1
642,Enterovirus A,1952.0,3,1
643,Qalyub orthonairovirus,1952.0,6,6
644,Picornaviridae,1952.0,29,4
645,Japanese encephalitis virus,1952.0,21,2
646,Mastadenovirus,1953.0,113,113
647,All Species,1953.0,5271,607
648,Hepacivirus C,1953.0,6,2
649,Vaccinia virus,1953.0,684,229
650,Flaviviridae,1953.0,84,7
651,Togaviridae,1953.0,56,11
652,Influenza A virus,1953.0,1188,34
653,Picornaviridae,1953.0,31,2
654,Reoviridae,1953.0,203,23
655,Saint Louis encephalitis virus,1953.0,3,1
656,Eastern equine encephalitis virus,1953.0,16,2
657,Alphavirus,1953.0,56,11
658,Orbivirus,1953.0,203,23
659,Western equine encephalitis virus,1953.0,18,3
660,West Nile virus,1953.0,3,1
661,Hepacivirus,1953.0,6,2
662,Fabavirus,1953.0,14,12
663,Dengue virus,1953.0,10,2
664,Variola virus,1953.0,11,2
665,Myxoma virus,1953.0,1175,167
666,Rinderpest morbillivirus,1953.0,77,7
667,Paramyxoviridae,1953.0,124,7
668,Bluetongue virus,1953.0,129,23
669,Flavivirus,1953.0,76,5
670,Alphainfluenzavirus,1953.0,1188,34
671,Morbillivirus,1953.0,80,7
672,Poxviridae,1953.0,2079,398
673,Secoviridae,1953.0,14,12
674,Human mastadenovirus C,1953.0,75,75
675,Sindbis virus,1953.0,7,2
676,Lamium mild mosaic virus,1953.0,12,12
677,Semliki Forest virus,1953.0,5,2
678,Foot-and-mouth disease virus,1953.0,20,2
679,Orthopoxvirus,1953.0,869,231
680,Human mastadenovirus E,1953.0,38,38
681,Orthomyxoviridae,1953.0,1211,34
682,Leporipoxvirus,1953.0,1175,167
683,Aphthovirus,1953.0,20,2
684,Adenoviridae,1953.0,151,113
685,Tick-borne encephalitis virus,1953.0,21,1
686,Chikungunya virus,1953.0,2,2
687,Lyssavirus,1954.0,48,1
688,Gammacoronavirus,1954.0,34,12
689,Ganjam virus,1954.0,3,3
690,Capripoxvirus,1954.0,188,160
691,Sindbis virus,1954.0,8,1
