Species,Collection_Date,Count
Enterovirus C,1942.0,1
Influenza A virus,1942.0,36
Tick-borne encephalitis virus,1942.0,3
Cardiovirus A,1942.0,1
Semliki Forest virus,1942.0,3
Bluetongue virus,1942.0,32
Potato virus Y,1943.0,4
Ntaya virus,1943.0,1
Japanese encephalitis virus,1943.0,1
Cauliflower mosaic virus,1943.0,7
Influenza A virus,1943.0,44
California encephalitis orthobunyavirus,1943.0,8
Tick-borne encephalitis virus,1943.0,5
Foot-and-mouth disease virus,1943.0,1
Bluetongue virus,1943.0,11
Foot-and-mouth disease virus,1944.0,2
Rift Valley fever phlebovirus,1944.0,9
Cardiovirus A,1944.0,1
Avian orthoavulavirus 1,1944.0,2
Naples virus,1944.0,4
Dengue virus,1944.0,8
Bluetongue virus,1944.0,10
Broad bean wilt virus 1,1945.0,2
Influenza A virus,1945.0,11
Avian orthoavulavirus 1,1945.0,1
Goatpox virus,1946.0,28
Japanese encephalitis virus,1946.0,2
Avian orthoavulavirus 1,1946.0,12
Variola virus,1946.0,2
Yellow fever virus,1946.0,1
Western equine encephalitis virus,1946.0,3
Influenza A virus,1946.0,36
Variola virus,1947.0,3
Lymphocytic choriomeningitis mammarenavirus,1947.0,4
Equine infectious anemia virus,1947.0,1
Murine coronavirus,1947.0,19
Apis mellifera filamentous virus,1947.0,1
Zika virus,1947.0,10
Foot-and-mouth disease virus,1947.0,2
Japanese encephalitis virus,1947.0,2
Avian orthoavulavirus 1,1947.0,3
Influenza A virus,1947.0,46
Influenza C virus,1947.0,7
Avian orthoavulavirus 1,1948.0,14
Variola virus,1948.0,1
Mammalian 1 orthobornavirus,1948.0,5
Japanese encephalitis virus,1948.0,2
Omsk hemorrhagic fever virus,1948.0,1
Rabies lyssavirus,1948.0,10
Foot-and-mouth disease virus,1948.0,1
Trivittatus orthobunyavirus,1948.0,8
Influenza A virus,1948.0,33
Citrus leprosis virus,1948.0,5
Enterovirus A,1949.0,1
Japanese encephalitis virus,1949.0,4
Influenza A virus,1949.0,62
Lymphocytic choriomeningitis mammarenavirus,1949.0,2
Enterovirus B,1949.0,1
Myxoma virus,1949.0,339
African swine fever virus,1949.0,197
Fowl aviadenovirus A,1949.0,38
Rinderpest morbillivirus,1949.0,14
Avian orthoavulavirus 1,1950.0,3
Western equine encephalitis virus,1950.0,2
Saint Louis encephalitis virus,1950.0,1
Myxoma virus,1950.0,169
Influenza A virus,1950.0,41
Mumps orthorubulavirus,1950.0,1
Rabies lyssavirus,1950.0,7
Japanese encephalitis virus,1950.0,1
Influenza C virus,1950.0,5
Foot-and-mouth disease virus,1950.0,2
Eastern equine encephalitis virus,1951.0,2
Variola virus,1951.0,2
Myxoma virus,1951.0,165
Tick-borne encephalitis virus,1951.0,2
Influenza A virus,1951.0,68
Japanese encephalitis virus,1951.0,1
Pestivirus C,1951.0,2
Rift Valley fever phlebovirus,1951.0,10
Avian orthoavulavirus 1,1951.0,7
Human alphaherpesvirus 1,1951.0,144
Vibrio phage 11895-B1,1952.0,392
Qalyub orthonairovirus,1952.0,6
Wad Medani virus,1952.0,24
Tick-borne encephalitis virus,1952.0,2
Alphacoronavirus 1,1952.0,9
Variola virus,1952.0,1
Sindbis virus,1952.0,5
Qualyub virus,1952.0,3
African horse sickness virus,1952.0,10
Enterovirus C,1952.0,2
Myxoma virus,1952.0,335
Spondweni virus,1952.0,1
Enterovirus A,1952.0,1
Japanese encephalitis virus,1952.0,2
Foot-and-mouth disease virus,1952.0,1
Rinderpest morbillivirus,1953.0,7
Semliki Forest virus,1953.0,2
West Nile virus,1953.0,1
Bluetongue virus,1953.0,23
Influenza A virus,1953.0,34
Saint Louis encephalitis virus,1953.0,1
Eastern equine encephalitis virus,1953.0,2
Variola virus,1953.0,2
Hepacivirus C,1953.0,2
Sindbis virus,1953.0,2
Vaccinia virus,1953.0,229
Foot-and-mouth disease virus,1953.0,2
Dengue virus,1953.0,2
Myxoma virus,1953.0,167
Lamium mild mosaic virus,1953.0,12
Human mastadenovirus C,1953.0,75
Tick-borne encephalitis virus,1953.0,1
Chikungunya virus,1953.0,2
Human mastadenovirus E,1953.0,38
Western equine encephalitis virus,1953.0,3
Turlock orthobunyavirus,1954.0,4
Nairobi sheep disease orthonairovirus,1954.0,2
Mumps orthorubulavirus,1954.0,3
Measles morbillivirus,1954.0,1
Avian coronavirus,1954.0,12
Myxoma virus,1954.0,338
Manzanilla orthobunyavirus,1954.0,3
Marituba orthobunyavirus,1954.0,20
Mayaro virus,1954.0,2
Lumpy skin disease virus,1954.0,160
Rinderpest morbillivirus,1954.0,14
Wanowrie virus,1954.0,3
Tick-borne encephalitis virus,1954.0,2
Bhanja bandavirus,1954.0,8
Yellow fever virus,1954.0,1
Human mastadenovirus A,1954.0,35
Sindbis virus,1954.0,1
African swine fever virus,1954.0,1
Wad Medani virus,1954.0,12
Chenuda virus,1954.0,24
Influenza A virus,1954.0,45
Rabies lyssavirus,1954.0,1
Oriboca orthobunyavirus,1954.0,20
Influenza C virus,1954.0,9
Ganjam virus,1954.0,3
Aruac virus,1955.0,8
Triniti orthobunyavirus,1955.0,3
Myxoma virus,1955.0,338
Human mastadenovirus D,1955.0,276
Human mastadenovirus B,1955.0,37
Yellow fever virus,1955.0,2
Foot-and-mouth disease virus,1955.0,2
Avian orthoavulavirus 1,1955.0,1
Simian adenovirus 2,1955.0,37
Epizootic hemorrhagic disease virus,1955.0,20
Madariaga virus,1955.0,2
Hart Park hapavirus,1955.0,22
Tomato black ring virus,1955.0,2
Wyeomyia orthobunyavirus,1955.0,6
Rift Valley fever phlebovirus,1955.0,27
Guama orthobunyavirus,1955.0,6
Marituba orthobunyavirus,1955.0,16
Apeu orthobunyavirus,1955.0,8
Spondweni virus,1955.0,1
Melao orthobunyavirus,1955.0,8
Saint Louis encephalitis virus,1955.0,3
Bimiti orthobunyavirus,1955.0,6
Brucella virus Tb,1955.0,174
Turlock orthobunyavirus,1955.0,9
Getah virus,1955.0,7
Sindbis virus,1955.0,1
Mayaro virus,1955.0,9
Tacaiuma orthobunyavirus,1955.0,6
Batai orthobunyavirus,1955.0,7
Bluetongue virus,1955.0,20
Anopheles A orthobunyavirus,1955.0,6
West Nile virus,1955.0,2
Wesselsbron virus,1955.0,6
Kairi orthobunyavirus,1955.0,4
Catu orthobunyavirus,1955.0,6
Japanese encephalitis virus,1955.0,2
Bwamba orthobunyavirus,1955.0,6
Oropouche orthobunyavirus,1955.0,4
Omsk hemorrhagic fever virus,1955.0,1
Goatpox virus,1956.0,1
Tacaribe mammarenavirus,1956.0,4
Madariaga virus,1956.0,13
Kern Canyon ledantevirus,1956.0,13
Avian metaavulavirus 2,1956.0,14
Avian coronavirus,1956.0,14
Murray Valley encephalitis virus,1956.0,2
Sindbis virus,1956.0,1
Rio Bravo virus,1956.0,1
Guaroa orthobunyavirus,1956.0,4
Cache Valley orthobunyavirus,1956.0,8
Rift Valley fever phlebovirus,1956.0,5
Turlock orthobunyavirus,1956.0,7
Spodoptera littoralis nucleopolyhedrovirus,1956.0,264
Simian adenovirus 2,1956.0,4
Bluetongue virus,1956.0,20
Bovine alphaherpesvirus 1,1956.0,76
Japanese encephalitis virus,1956.0,3
Influenza A virus,1956.0,150
Getah virus,1956.0,2
Navarro virus,1956.0,1
Nairobi sheep disease orthonairovirus,1956.0,2
Madrid orthobunyavirus,1956.0,8
Myxoma virus,1956.0,169
Crimean-Congo hemorrhagic fever orthonairovirus,1956.0,7
Chikungunya virus,1956.0,2
Lebombo virus,1956.0,22
Langat virus,1956.0,1
Dengue virus,1956.0,9
Bakau orthobunyavirus,1956.0,8
Caraparu orthobunyavirus,1956.0,20
Vibrio phage vB_VchM-138,1956.0,134
Beet ringspot virus,1956.0,2
Rabies lyssavirus,1956.0,21
Lagos bat lyssavirus,1956.0,12
Human mastadenovirus D,1956.0,192
Human betaherpesvirus 5,1956.0,316
Bovine fever ephemerovirus,1956.0,1
Human orthopneumovirus,1956.0,14
Tick-borne encephalitis virus,1957.0,2
Ilheus virus,1957.0,1
Anatid alphaherpesvirus 1,1957.0,77
Turlock orthobunyavirus,1957.0,5
Bertioga orthobunyavirus,1957.0,6
Potato virus Y,1957.0,1
Influenza A virus,1957.0,315
Staphylococcus phage 812,1957.0,659
Mumps orthorubulavirus,1957.0,3
Rabies lyssavirus,1957.0,1
Middelburg virus,1957.0,2
Tomato black ring virus,1957.0,2
Human respirovirus 1,1957.0,6
Heterobasidion partitivirus 14,1957.0,1
Mayaro virus,1957.0,6
Simian adenovirus 17,1957.0,36
Foot-and-mouth disease virus,1957.0,2
Dengue virus,1957.0,1
Turnip rosette virus,1957.0,12
Hepatovirus A,1957.0,7
Simian mastadenovirus A,1957.0,4
Teschovirus A,1957.0,1
Human betaherpesvirus 5,1957.0,159
Cercopithecine betaherpesvirus 5,1957.0,1
Kyasanur Forest disease virus,1957.0,5
African swine fever virus,1957.0,10
Maguari orthobunyavirus,1957.0,14
Enterovirus B,1957.0,6
Human mastadenovirus B,1957.0,38
Wesselsbron virus,1957.0,9
Kaisodi uukuvirus,1957.0,13
Marituba orthobunyavirus,1957.0,4
West Nile virus,1957.0,3
Kairi orthobunyavirus,1957.0,8
Batai orthobunyavirus,1957.0,8
Rinderpest morbillivirus,1958.0,14
Pacora virus,1958.0,4
Enterovirus A,1958.0,1
Pestivirus C,1958.0,3
Apple stem grooving virus,1958.0,4
Reticuloendotheliosis virus,1958.0,1
La Joya hapavirus,1958.0,29
Mumps orthorubulavirus,1958.0,2
Bovine alphaherpesvirus 1,1958.0,70
Japanese encephalitis virus,1958.0,3
Powassan virus,1958.0,1
Influenza A virus,1958.0,76
Bluetongue virus,1958.0,44
Clostridium phage D-1873,1958.0,145
Crimean-Congo hemorrhagic fever orthonairovirus,1958.0,3
Human mastadenovirus G,1958.0,36
Potato virus Y,1958.0,1
Kedougou virus,1958.0,1
Human mastadenovirus D,1958.0,40
Cucurbitaria piceae virus 1,1958.0,2
Simian adenovirus 12,1958.0,5
Simian adenovirus 5,1958.0,5
Simian adenovirus 8,1958.0,72
Foot-and-mouth disease virus,1958.0,2
Simian mastadenovirus A,1958.0,12
Simian mastadenovirus D,1958.0,68
Capim orthobunyavirus,1958.0,9
Spondweni virus,1958.0,9
Human mastadenovirus B,1958.0,41
West Nile virus,1958.0,4
Tahyna orthobunyavirus,1958.0,11
Madariaga virus,1958.0,2
Witwatersrand orthobunyavirus,1958.0,8
San Angelo orthobunyavirus,1958.0,8
Chikungunya virus,1958.0,4
Tick-borne encephalitis virus,1958.0,8
Rotavirus A,1958.0,37
Kyasanur Forest disease virus,1958.0,1
Madariaga virus,1959.0,2
Usutu virus,1959.0,2
Marituba orthobunyavirus,1959.0,4
Salehabad phlebovirus,1959.0,8
Enterovirus C,1959.0,1
Ross River virus,1959.0,5
Kyasanur Forest disease virus,1959.0,2
Guajara orthobunyavirus,1959.0,6
African swine fever virus,1959.0,20
Foot-and-mouth disease virus,1959.0,5
Snowshoe hare orthobunyavirus,1959.0,8
Moju orthobunyavirus,1959.0,3
African horse sickness virus,1959.0,4
Mossuril hapavirus,1959.0,22
Spondweni virus,1959.0,4
Eastern equine encephalitis virus,1959.0,2
Sindbis virus,1959.0,3
Akabane orthobunyavirus,1959.0,5
Human mastadenovirus D,1959.0,116
Avian orthoavulavirus 1,1959.0,6
Tete orthobunyavirus,1959.0,9
Ndumu virus,1959.0,4
Leptomonas seymouri Narna-like virus 1,1959.0,6
Enterovirus B,1959.0,4
Karimabad phlebovirus,1959.0,4
Wesselsbron virus,1959.0,4
Cauliflower mosaic virus,1959.0,1
Chikungunya virus,1959.0,3
Epizootic hemorrhagic disease virus,1959.0,10
Nyando orthobunyavirus,1959.0,8
Ingwavuma orthobunyavirus,1959.0,6
Bluetongue virus,1959.0,72
Influenza A virus,1959.0,63
Oriboca orthobunyavirus,1959.0,8
Tick-borne encephalitis virus,1959.0,3
Lumpy skin disease virus,1959.0,157
Orungo virus,1959.0,22
Lychnis ringspot virus,1959.0,7
Bushbush orthobunyavirus,1959.0,3
Israel turkey meningoencephalomyelitis virus,1959.0,1
Changuinola virus,1959.0,10
African swine fever virus,1960.0,334
Madariaga virus,1960.0,2
Jamestown Canyon orthobunyavirus,1960.0,4
Alphaarterivirus equid,1960.0,9
Cucumber vein yellowing virus,1960.0,1
Mayaro virus,1960.0,5
Yellow fever virus,1960.0,1
Wesselsbron virus,1960.0,1
Avian coronavirus,1960.0,35
Batai orthobunyavirus,1960.0,3
West Nile virus,1960.0,8
Macacine alphaherpesvirus 1,1960.0,75
Mammalian 1 orthobornavirus,1960.0,6
Tick-borne encephalitis virus,1960.0,10
Tensaw orthobunyavirus,1960.0,4
Highlands J virus,1960.0,4
Enterovirus B,1960.0,2
Human immunodeficiency virus 1,1960.0,71
Oropouche orthobunyavirus,1960.0,11
Icoaraci phlebovirus,1960.0,8
Eastern equine encephalitis virus,1960.0,4
Foot-and-mouth disease virus,1960.0,7
Sowthistle yellow vein betanucleorhabdovirus,1960.0,1
Koongol orthobunyavirus,1960.0,9
Sindbis virus,1960.0,4
Chikungunya virus,1960.0,2
Mumps orthorubulavirus,1960.0,6
Silverwater uukuvirus,1960.0,8
Influenza A virus,1960.0,45
Spondweni virus,1960.0,1
Saint Louis encephalitis virus,1960.0,1
Bluetongue virus,1960.0,53
La Crosse orthobunyavirus,1960.0,4
Citrus tristeza virus,1960.0,1
Piry vesiculovirus,1960.0,12
Kyasanur Forest disease virus,1960.0,1
Dengue virus,1960.0,4
Guaroa orthobunyavirus,1960.0,10
Corriparta virus,1960.0,24
Japanese encephalitis virus,1960.0,2
Ananindeua orthobunyavirus,1960.0,3
Lanjan virus,1960.0,1
Mapputta orthobunyavirus,1960.0,6
Cat Que orthobunyavirus,1961.0,3
Jamestown Canyon orthobunyavirus,1961.0,12
I612045 virus,1961.0,3
Patois orthobunyavirus,1961.0,4
Rubivirus rubellae,1961.0,4
Bacillus phage SP8,1961.0,209
African horse sickness virus,1961.0,84
Cache Valley orthobunyavirus,1961.0,9
Alphapapillomavirus 9,1961.0,1
Gabek phlebovirus,1961.0,8
Dengue virus,1961.0,2
Changuinola virus,1961.0,42
Zegla orthobunyavirus,1961.0,12
Alphaarterivirus equid,1961.0,9
Human orthopneumovirus,1961.0,7
African swine fever virus,1961.0,12
Eastern equine encephalitis virus,1961.0,2
Cocal vesiculovirus,1961.0,10
Nairobi sheep disease orthonairovirus,1961.0,9
Pixuna virus,1961.0,2
Madrid orthobunyavirus,1961.0,8
Mumps orthorubulavirus,1961.0,3
Raccoonpox virus,1961.0,1
Goatpox virus,1961.0,5
Cotia virus,1961.0,371
Enterovirus C,1961.0,1
Apeu orthobunyavirus,1961.0,4
Pacui pacuvirus,1961.0,6
Influenza A virus,1961.0,44
Sindbis virus,1961.0,1
Foot-and-mouth disease virus,1961.0,1
Monkeypox virus,1961.0,1
Western equine encephalitis virus,1961.0,2
Acara orthobunyavirus,1961.0,3
Venezuelan equine encephalitis virus,1961.0,9
Rinderpest morbillivirus,1961.0,28
Oropouche orthobunyavirus,1961.0,18
Buttonwillow orthobunyavirus,1961.0,4
Enterovirus B,1961.0,4
Matariya virus,1961.0,8
Sororoca orthobunyavirus,1961.0,6
Kokobera virus,1961.0,3
Yellow fever virus,1961.0,5
Mayaro virus,1961.0,3
Matruh orthobunyavirus,1961.0,3
Flanders hapavirus,1961.0,24
Tick-borne encephalitis virus,1962.0,1
Zika virus,1962.0,1
Human orthopneumovirus,1962.0,14
Hughes orthonairovirus,1962.0,9
African horse sickness virus,1962.0,251
Itaporanga phlebovirus,1962.0,8
African swine fever virus,1962.0,4
Kyasanur Forest disease virus,1962.0,3
Pestivirus A,1962.0,1
Mumps orthorubulavirus,1962.0,9
Cotia virus,1962.0,185
Marco hapavirus,1962.0,16
Suid alphaherpesvirus 1,1962.0,3
Influenza A virus,1962.0,14
Great Island virus,1962.0,15
Sindbis virus,1962.0,2
Barur ledantevirus,1962.0,11
Rinderpest morbillivirus,1962.0,22
Venezuelan equine encephalitis virus,1962.0,6
Foot-and-mouth disease virus,1962.0,6
Klamath tupavirus,1962.0,18
Rift Valley fever phlebovirus,1962.0,7
Avian coronavirus,1962.0,14
Tahyna orthobunyavirus,1962.0,4
Tanga virus,1962.0,3
Dengue virus,1962.0,7
Bovine alphaherpesvirus 5,1962.0,1
Timbo virus,1962.0,1
Saint Louis encephalitis virus,1962.0,2
Bunyamwera orthobunyavirus,1962.0,10
Madariaga virus,1962.0,4
Bushbush orthobunyavirus,1962.0,3
Enterovirus B,1962.0,3
Eastern equine encephalitis virus,1962.0,3
Anopheles B orthobunyavirus,1962.0,3
Anatid alphaherpesvirus 1,1962.0,80
Lymphocystis disease virus 1,1962.0,1
Chikungunya virus,1962.0,5
Batai orthobunyavirus,1962.0,8
Epizootic hemorrhagic disease virus,1962.0,10
Lumbo orthbunyavirus,1962.0,8
Oak looper alphabaculovirus,1962.0,1
Avian orthoavulavirus 1,1962.0,3
Burg el Arab virus,1962.0,14
Bovine rhinitis A virus,1962.0,14
Enterovirus D,1962.0,3
Bujaru phlebovirus,1962.0,8
Jurona vesiculovirus,1962.0,12
Changuinola virus,1962.0,10
Nairobi sheep disease orthonairovirus,1962.0,11
Chaco sripuvirus,1962.0,18
Piscine novirhabdovirus,1962.0,12
Nariva narmovirus,1962.0,16
Omsk hemorrhagic fever virus,1962.0,2
Louping ill virus,1962.0,1
Anhanga phlebovirus,1962.0,8
Gamboa orthobunyavirus,1962.0,4
Escherichia virus JLK2012,1963.0,158
Enterovirus A,1963.0,2
Foot-and-mouth disease virus,1963.0,3
Dengue virus,1963.0,10
Alajuela orthobunyavirus,1963.0,8
West Nile virus,1963.0,11
Rift Valley fever phlebovirus,1963.0,2
African swine fever virus,1963.0,2
Chikungunya virus,1963.0,6
Human coronavirus 229E,1963.0,1
Citrus tristeza virus,1963.0,2
Henbane mosaic virus,1963.0,1
BeAn 58058 virus,1963.0,420
Uukuniemi uukuvirus,1963.0,4
Hepatitis B virus,1963.0,140
Soldado orthonairovirus,1963.0,6
Louping ill virus,1963.0,1
Venezuelan equine encephalitis virus,1963.0,7
Arumowot phlebovirus,1963.0,4
Escherichia virus Qbeta,1963.0,6
Eubenangee virus,1963.0,20
Broad bean wilt virus 1,1963.0,1
Human respirovirus 3,1963.0,16
Jamestown Canyon orthobunyavirus,1963.0,4
Tahyna orthobunyavirus,1963.0,20
Rinderpest morbillivirus,1963.0,1
Nyando orthobunyavirus,1963.0,4
Sathuvachari virus,1963.0,10
Bacillus phage AP631,1963.0,56
Flanders hapavirus,1963.0,1
Turlock orthobunyavirus,1963.0,12
Enterovirus B,1963.0,2
Avian coronavirus,1963.0,1
Patois orthobunyavirus,1963.0,13
Pseudaletia betabaculovirus,1963.0,1
Malakal virus,1963.0,21
Zika virus,1963.0,1
Highlands J virus,1963.0,2
Balagodu virus,1963.0,3
African horse sickness virus,1963.0,51
Kammavanpettai virus,1963.0,11
Omsk hemorrhagic fever virus,1963.0,2
Peridroma alphabaculovirus,1963.0,1
Kowanyama virus,1963.0,4
Influenza A virus,1963.0,201
Marituba orthobunyavirus,1963.0,16
Akabane orthobunyavirus,1963.0,4
Japanese encephalitis virus,1963.0,1
Kannamangalam virus,1963.0,1
La Crosse orthobunyavirus,1963.0,2
Tensaw orthobunyavirus,1963.0,10
Calovo virus,1963.0,4
Kyasanur Forest disease virus,1963.0,2
Vesicular stomatitis virus,1963.0,2
Thimiri orthobunyavirus,1963.0,4
Obodhiang ephemerovirus,1963.0,1
Abu Mina orthonairovirus,1963.0,3
Potato virus Y,1963.0,2
Choristoneura viridis betabaculovirus,1963.0,1
Argentinian mammarenavirus,1963.0,2
Tick-borne encephalitis virus,1963.0,9
Changuinola virus,1963.0,10
Simian adenovirus 19,1963.0,72
Bacillus virus SP15,1963.0,634
Choristoneura murinana nucleopolyhedrovirus,1963.0,1
Sindbis virus,1963.0,9
Mumps orthorubulavirus,1963.0,9
Gamboa orthobunyavirus,1964.0,4
Mount Elgon bat ledantevirus,1964.0,11
Saint Louis encephalitis virus,1964.0,2
Apple stem grooving virus,1964.0,2
Kyasanur Forest disease virus,1964.0,2
Jamestown Canyon orthobunyavirus,1964.0,1
Epsilonarterivirus hemcep,1964.0,26
Changuinola virus,1964.0,2
Agrotis segetum granulovirus,1964.0,304
Venezuelan equine encephalitis virus,1964.0,2
Mumps orthorubulavirus,1964.0,16
Foot-and-mouth disease virus,1964.0,13
Buenaventura phlebovirus,1964.0,8
Hazara orthonairovirus,1964.0,7
Sawgrass sawgrhavirus,1964.0,10
Mammalian orthorubulavirus 5,1964.0,8
Henbane mosaic virus,1964.0,1
Pestivirus C,1964.0,1
Alagoas vesiculovirus,1964.0,10
Manawa virus,1964.0,4
Sindbis virus,1964.0,8
Alcelaphine gammaherpesvirus 1,1964.0,69
Enterovirus B,1964.0,2
Okola virus,1964.0,3
Influenza A virus,1964.0,50
Aino orthobunyavirus,1964.0,5
Bunyamwera orthobunyavirus,1964.0,1
Variola virus,1964.0,1
Rinderpest morbillivirus,1964.0,21
Buttonwillow orthobunyavirus,1964.0,6
Kwatta sunrhavirus,1964.0,15
Acara orthobunyavirus,1964.0,3
Influenza C virus,1964.0,4
Human alphaherpesvirus 1,1964.0,153
Avian coronavirus,1964.0,12
Powassan virus,1964.0,1
Oyo orthobunyavirus,1964.0,3
Dengue virus,1964.0,24
Maguari orthobunyavirus,1964.0,4
Cauliflower mosaic virus,1964.0,2
Tahyna orthobunyavirus,1964.0,3
Keystone orthobunyavirus,1964.0,8
Thottopalayam thottimvirus,1964.0,4
Chikungunya virus,1964.0,2
Mahogany Hammock orthobunyavirus,1964.0,3
Main Drain orthobunyavirus,1964.0,2
Alphaarterivirus equid,1964.0,2
Mermet orthobunyavirus,1964.0,6
Human alphaherpesvirus 3,1964.0,73
Getah virus,1964.0,1
Keterah orthonairovirus,1964.0,3
Tick-borne encephalitis virus,1964.0,1
Japanese encephalitis virus,1964.0,4
Mythimna unipuncta granulovirus B,1964.0,306
Raccoonpox virus,1964.0,630
Highlands J virus,1964.0,2
Wyeomyia orthobunyavirus,1964.0,3
African swine fever virus,1964.0,11
Rift Valley fever phlebovirus,1964.0,1
Carnivore protoparvovirus 1,1964.0,4
Shark River orthobunyavirus,1964.0,4
Streptococcus phage T12,1964.0,130
Dugbe orthonairovirus,1964.0,3
Heramatsu virus,1965.0,10
Rotavirus A,1965.0,12
Pseudaletia alphabaculovirus,1965.0,1
Simian mastadenovirus E,1965.0,72
Puchong ephemerovirus,1965.0,11
Simian adenovirus 15,1965.0,5
Monkeypox virus,1965.0,172
Chikungunya virus,1965.0,1
Human orthopneumovirus,1965.0,1
Japanaut virus,1965.0,12
Foot-and-mouth disease virus,1965.0,4
Le Dantec ledantevirus,1965.0,12
Hughes orthonairovirus,1965.0,6
Goatpox virus,1965.0,148
Fort Sherman orthobunyavirus,1965.0,4
Kyasanur Forest disease virus,1965.0,2
Avipoxvirus pigeon/CAPM V-101/CZE/1965,1965.0,1
Highlands J virus,1965.0,2
Saint Louis encephalitis virus,1965.0,1
