,Species,Region,Count,Geographical_Region
85,Achromobacter virus Axy10,Africa,166,
86,Achromobacter virus Axy11,Africa,162,
87,Achromobacter virus Axy12,Africa,164,
88,Achromobacter virus Axy24,Africa,164,
89,Achromobacter virus JWAlpha,Europa,182,
90,Achromobacter virus JWX,Europa,134,
91,Achromobacter virus Motura,North America,688,
92,Achyranthes bidentata mosaic virus,Asia,2,
93,Achyranthes virus A,Asia,1,
94,Acidianus filamentous virus 2,Europa,104,
95,Acidianus spindle-shaped virus 1,North America,76,
96,Acidianus tailed spindle virus,North America,190,
97,Acidianus two-tailed virus,Europa,144,
98,Acidianus two-tailed virus 2,Europa,63,
99,Acidianus two-tailed virus variant 1,Europa,66,
100,Acidomyces richmondensis tobamo-like virus 1,North America,4,
101,Acidovorax phage ACF1,Europa,89,
102,Acinetobacter phage 5W,Asia,61,
103,Acinetobacter phage ABP-01,Asia,1,
104,Acinetobacter phage ABP-04,Asia,1,
105,Acinetobacter phage ABPH49,Asia,243,
106,Acinetobacter phage AJO2,Asia,25,
107,Acinetobacter phage AM106,Europa,70,
108,Acinetobacter phage APK09,Europa,56,
109,Acinetobacter phage APK15,Europa,54,
110,Acinetobacter phage APK16,Europa,54,
111,Acinetobacter phage APK20,Europa,58,
112,Acinetobacter phage APK37,Europa,56,
113,Acinetobacter phage APK77,Europa,57,
114,Acinetobacter phage APK86,Europa,56,
115,Acinetobacter phage Ab105-2phideltaCI404ad,Europa,82,
116,Acinetobacter phage Ab11510-phi,North America,76,
117,Acinetobacter phage Ab124,Asia,47,
118,Acinetobacter phage AbTJ,Asia,62,
119,Acinetobacter phage Ab_121,Asia,159,
120,Acinetobacter phage Ab_SZ3,Asia,56,
121,Acinetobacter phage Abp9,Asia,81,
122,Acinetobacter phage Abp95,Asia,57,
123,Acinetobacter phage Abraxas,Europa,249,
124,Acinetobacter phage Aristophanes,Europa,46,
125,Acinetobacter phage BS46,Europa,176,
126,Acinetobacter phage Barton,North America,61,
127,Acinetobacter phage Bestia,Europa,162,
128,Acinetobacter phage DMU1,North America,59,
129,Acinetobacter phage Effie,North America,80,
130,Acinetobacter phage Henu6,Asia,234,
131,Acinetobacter phage Herod,Europa,168,
132,Acinetobacter phage JeffCo,North America,56,
133,Acinetobacter phage Liucustia,Europa,157,
134,Acinetobacter phage Maestro,North America,264,
135,Acinetobacter phage Melin,North America,252,
136,Acinetobacter phage Meroveus,Europa,248,
137,Acinetobacter phage Minot,North America,248,
138,Acinetobacter phage Mithridates,Europa,178,
139,Acinetobacter phage Mokit,North America,250,
140,Acinetobacter phage Morttis,North America,259,
141,Acinetobacter phage Octan,Europa,247,
142,Acinetobacter phage Paty,North America,55,
143,Acinetobacter phage PhaR5,Asia,244,
144,Acinetobacter phage Phab24,Asia,171,
145,Acinetobacter phage Pipo,North America,58,
146,Acinetobacter phage RL-2015,Asia,4,
147,Acinetobacter phage SH-Ab 15599,Asia,177,
148,Acinetobacter phage Stupor,Europa,245,
149,Acinetobacter phage TAC1,Asia,163,
150,Acinetobacter phage TaPaz,Europa,178,
151,Acinetobacter phage VB_ApiP_XC38,Asia,194,
152,Acinetobacter phage YMC11/12/R1215,Asia,85,
153,Acinetobacter phage YMC11/12/R2315,Asia,170,
154,Acinetobacter phage YMC13/03/R2096,Asia,324,
155,Acinetobacter phage ZaA-2018a,Asia,1,
156,Acinetobacter phage ZaA-2018b,Asia,1,
157,Acinetobacter phage phiAB2,Asia,6,
158,Acinetobacter phage phiAC-1,Asia,164,
159,Acinetobacter phage vB_AbaM_IME285,Asia,85,
160,Acinetobacter phage vB_AbaM_P1,Asia,169,
161,Acinetobacter phage vB_AbaP_ABWU2101,Asia,57,
162,Acinetobacter phage vB_AbaP_APK116,Europa,49,
163,Acinetobacter phage vB_AbaP_APK128,Europa,52,
164,Acinetobacter phage vB_AbaP_APK14,Europa,55,
165,Acinetobacter phage vB_AbaP_APK2,Europa,50,
166,Acinetobacter phage vB_AbaP_APK2-2,Europa,50,
167,Acinetobacter phage vB_AbaP_APK26,Europa,54,
168,Acinetobacter phage vB_AbaP_APK32,Europa,52,
169,Acinetobacter phage vB_AbaP_APK37,Europa,51,
170,Acinetobacter phage vB_AbaP_APK44,Europa,50,
171,Acinetobacter phage vB_AbaP_APK48,Europa,49,
172,Acinetobacter phage vB_AbaP_APK48-3,Europa,54,
173,Acinetobacter phage vB_AbaP_APK81,Europa,55,
174,Acinetobacter phage vB_AbaP_APK87,Europa,54,
175,Acinetobacter phage vB_AbaP_APK89,Europa,52,
176,Acinetobacter phage vB_AbaP_APK93,Europa,50,
177,Acinetobacter phage vB_AbaP_Alexa,Europa,58,
178,Acinetobacter phage vB_AbaP_CEB1,Europa,1,
179,Acinetobacter phage vB_AbaP_IME546,Asia,101,
180,Acinetobacter phage vB_AbaP_PMK34,Africa,50,
181,Acinetobacter phage vB_AbaP_WU2001,Asia,47,
182,Acinetobacter phage vB_phiAcib_BQ1,Asia,1,
183,Acinetobacter phage vB_phiAcib_BQ2,Asia,1,
184,Acinetobacter phage vB_phiAcib_BQ4,Asia,1,
185,Acinetobacter virus AB2,Asia,164,
186,Acinetobacter virus AM101,Europa,500,
187,Acinetobacter virus AP22,Asia,4,
188,Acinetobacter virus AS11,Europa,102,
189,Acinetobacter virus AS12,Europa,98,
190,Acinetobacter virus AbC62,Asia,168,
191,Acinetobacter virus Aci01-1,Africa,326,
192,Acinetobacter virus Aci02-2,Africa,342,
193,Acinetobacter virus Aci05,Africa,320,
194,Acinetobacter virus Aci07,Africa,104,
195,Acinetobacter virus Aci08,Africa,106,
196,Acinetobacter virus Apostate,Europa,488,
197,Acinetobacter virus B1,Europa,102,
198,Acinetobacter virus B1251,Asia,124,
199,Acinetobacter virus B3,Europa,98,
200,Acinetobacter virus B5,Europa,106,
201,Acinetobacter virus Berthold,Europa,500,
202,Acinetobacter virus Fri1,Europa,108,
203,Acinetobacter virus IME200,Asia,108,
204,Acinetobacter virus IMEAB3,Asia,114,
205,Acinetobacter virus KARL1,Europa,506,
206,Acinetobacter virus Kimel,Europa,504,
207,Acinetobacter virus Konradin,Europa,498,
208,Acinetobacter virus LZ35,Asia,166,
209,Acinetobacter virus Lazarus,Europa,494,
210,Acinetobacter virus Loki,Europa,102,
211,Acinetobacter virus ME3,Europa,652,
212,Acinetobacter virus P1,Europa,98,
213,Acinetobacter virus P2,Europa,108,
214,Acinetobacter virus PhT2,Asia,492,
215,Acinetobacter virus R3177,Asia,160,
216,Acinetobacter virus WCHABP1,Asia,178,
217,Acinetobacter virus WCHABP12,Asia,176,
218,Acinetobacter virus WCHABP5,Asia,94,
219,Acinetobacter virus ZZ1,Asia,512,
220,Acinetobacter virus phiAB6,Asia,90,
221,Acinetobacter virus vB_AbaP_AGC01,Europa,54,
222,Acinonyx jubatus papillomavirus type 1,Africa,70,
223,Acinopterus angulatus reovirus,North America,1,
224,Acipenser iridovirus-European,Europa,19,
225,Acipenserid herpesvirus 1,Europa,2,
226,Acipenserid herpesvirus 1,North America,3,
227,Acipenserid herpesvirus 2,Europa,16,
228,Acipenserid herpesvirus 2,North America,99,
229,Acipenserid herpesvirus isolate Canada,North America,1,
230,Ackermannviridae sp.,North America,2357,
231,Ackermannviridae sp. ctClB2,North America,40,
232,Ackermannviridae sp. ctQad106,North America,75,
233,Ackermannviridae sp. ctaCq7,North America,93,
234,Aconite virus A,Asia,6,
235,Aconitum latent virus,Asia,12,
236,Acremonium magoulivirus,Europa,1,
237,Acropoma japonicum iridovirus,Asia,1,
238,Acropoma japonicum nervous necrosis virus,Asia,1,
239,Acropora pruinosa phage,Asia,1,
240,Actias selene nucleopolyhedrovirus,Europa,2,
241,Actinidia chlorotic ringspot-associated emaravirus,Asia,66,
242,Actinidia cytorhabdovirus JS27,Asia,7,
243,Actinidia emaravirus 2,Asia,12,
244,Actinidia seed borne latent virus,Asia,6,
245,Actinidia seed borne latent virus,Oceans and Seas,8,
246,Actinidia seed-borne latent like virus,Asia,4,
247,Actinidia virus 1,Asia,165,
248,Actinidia virus 1,Europa,24,
249,Actinidia virus A,Asia,81,
250,Actinidia virus A,Oceans and Seas,10,
251,Actinidia virus B,Asia,52,
252,Actinidia virus B,Oceans and Seas,10,
253,Actinidia virus C,Asia,26,
254,Actinidia virus X,Africa,5,
255,Actinidia virus X,Europa,33,
256,Actinidia virus X,North America,12,
257,Actinidia virus X,Oceans and Seas,5,
258,Actinidia yellowing ringspot virus,Asia,4,
259,Actinidia yellowing virus 1,Asia,1,
260,Actinidia yellowing virus 2,Asia,5,
261,Actinoplanes phage phiAsp2,Europa,76,
262,Acute bee paralysis virus,Africa,6,
263,Acute bee paralysis virus,Asia,71,
264,Acute bee paralysis virus,Europa,101,
265,Acute bee paralysis virus,North America,2,
266,Acute bee paralysis virus,South America,4,
267,Acyrthosiphon pisum virus,Europa,4,
268,Adagum virus,Europa,1,
269,Adahivirus asienecus,North America,4,
270,Adahmuvirus asiocola,Asia,3,
271,Adana phlebovirus,Asia,8,
272,Adelaide River ephemerovirus,Oceans and Seas,19,
273,Adelphocoris suturalis virus,Asia,10,
274,Adeno-Associated Virus Clade A,Asia,33,
275,Adeno-Associated Virus Clade C,Asia,2,
276,Adeno-Associated Virus Clade D,Asia,2,
277,Adeno-Associated Virus PREDICT_AaV-10,Asia,3,
278,Adeno-Associated Virus PREDICT_AaV-11,Asia,6,
279,Adeno-Associated Virus PREDICT_AaV-5,Asia,1,
280,Adeno-Associated Virus PREDICT_AaV-6,Asia,2,
281,Adeno-Associated Virus PREDICT_AaV-7,Asia,2,
282,Adeno-Associated Virus PREDICT_AaV-8,Asia,4,
283,Adeno-Associated Virus PREDICT_AaV-9,Asia,1,
284,Adeno-Associated Virus rh.8,Asia,32,
285,Adeno-associated dependoparvovirus A,Africa,23,
286,Adeno-associated dependoparvovirus A,Asia,78,
287,Adeno-associated dependoparvovirus A,North America,5,
288,Adeno-associated dependoparvovirus B,North America,2,
289,Adeno-associated virus,Asia,39,
290,Adeno-associated virus,Europa,505,
291,Adeno-associated virus,North America,183,
292,Adeno-associated virus,Oceans and Seas,17,
293,Adeno-associated virus - Po1,North America,4,
294,Adeno-associated virus - Po2,North America,1,
295,Adeno-associated virus - Po3,North America,1,
296,Adeno-associated virus Croatia cul1_12,Europa,2,
297,Adeno-associated virus VR-195,North America,2,
298,Adeno-associated virus VR-355,North America,2,
299,Adenoviridae sp.,Africa,1,
300,Adenoviridae sp.,Asia,29,
301,Adenoviridae sp.,Europa,6,
302,Adenovirus Hu/RJ/2006-08/Brazil/2006,South America,1,
303,Adenovirus Hu/RJ/2006-13/Brazil/2006,South America,1,
304,Adenovirus Hu/RJ/2006-14/Brazil/2006,South America,1,
305,Adenovirus Hu/RJ/2008-317/Brazil/2008,South America,1,
306,Adenovirus Hu/RJ/2008-318/Brazil/2008,South America,1,
307,Adenovirus Hu/RJ/2008-319/Brazil/2008,South America,1,
308,Adenovirus Hu/RJ/2008-320/Brazil/2008,South America,1,
309,Adenovirus Hu/RJ/2008-322/Brazil/2008,South America,1,
310,Adenovirus Hu/RJ/2008-323/Brazil/2008,South America,1,
311,Adenovirus Hu/RJ/2008-324/Brazil/2008,South America,1,
312,Adenovirus Hu/RJ/2008-334/Brazil/2008,South America,1,
313,Adenovirus Hu/RJ/2008-335/Brazil/2008,South America,1,
314,Adenovirus Hu/RJ/2008-337/Brazil/2008,South America,1,
315,Adenovirus Hu/RJ/2008-338/Brazil/2008,South America,1,
316,Adenovirus Hu/RJ/2008-339/Brazil/2008,South America,1,
317,Adenovirus Hu/RJ/2008-340/Brazil/2008,South America,1,
318,Adenovirus Hu/RJ/2008-341/Brazil/2008,South America,1,
319,Adenovirus Hu/RJ/2008-342/Brazil/2008,South America,1,
320,Adenovirus Hu/RJ/2008-356/Brazil/2008,South America,1,
321,Adenovirus Lopburi057/2006/THA,Asia,1,
322,Adenovirus Lopburi070/2006/THA,Asia,1,
323,Adenovirus Lopburi073/2006/THA,Asia,1,
324,Adenovirus Lopburi078/2006/THA,Asia,1,
325,Adenovirus PREDICT_AdV-13,South America,7,
326,Adenovirus PREDICT_AdV-14,South America,1,
327,Adenovirus PREDICT_AdV-15,South America,2,
328,Adenovirus PREDICT_AdV-16,South America,5,
329,Adenovirus PREDICT_AdV-17,Africa,2,
330,Adenovirus PREDICT_AdV-18,Africa,2,
331,Adenovirus PREDICT_AdV-19,Africa,1,
332,Adenovirus PREDICT_AdV-2,Africa,1,
333,Adenovirus PREDICT_AdV-20,Africa,1,
334,Adenovirus PREDICT_AdV-21,Africa,2,
335,Adenovirus PREDICT_AdV-22,Africa,4,
336,Adenovirus PREDICT_AdV-23,Africa,1,
337,Adenovirus PREDICT_AdV-24,Africa,7,
338,Adenovirus PREDICT_AdV-25,Africa,2,
339,Adenovirus PREDICT_AdV-26,Asia,1,
340,Adenovirus PREDICT_AdV-27,Asia,1,
341,Adenovirus PREDICT_AdV-28,Africa,3,
342,Adenovirus PREDICT_AdV-29,Africa,4,
343,Adenovirus PREDICT_AdV-30,Africa,1,
344,Adenovirus PREDICT_AdV-31,Africa,2,
345,Adenovirus PREDICT_AdV-32,Africa,1,
346,Adenovirus PREDICT_AdV-33,Africa,3,
347,Adenovirus PREDICT_AdV-34,Africa,3,
348,Adenovirus PREDICT_AdV-35,Africa,4,
349,Adenovirus PREDICT_AdV-36,Africa,3,
350,Adenovirus PREDICT_AdV-37,Africa,2,
351,Adenovirus PREDICT_AdV-38,Africa,12,
352,Adenovirus PREDICT_AdV-39,Africa,1,
353,Adenovirus PREDICT_AdV-40,Africa,1,
354,Adenovirus PREDICT_AdV-41,Africa,2,
355,Adenovirus PREDICT_AdV-42,Africa,1,
356,Adenovirus PREDICT_AdV-43,Africa,3,
357,Adenovirus PREDICT_AdV-44,Africa,3,
358,Adenovirus PREDICT_AdV-45,Africa,2,
359,Adenovirus PREDICT_AdV-46,Africa,1,
360,Adenovirus PREDICT_AdV-47,Africa,1,
361,Adenovirus PREDICT_AdV-48,Africa,4,
362,Adenovirus PREDICT_AdV-49,Africa,7,
363,Adenovirus PREDICT_AdV-50,Africa,3,
364,Adenovirus PREDICT_AdV-51,Africa,1,
365,Adenovirus PREDICT_AdV-52,Africa,1,
366,Adenovirus PREDICT_AdV-53,Africa,1,
367,Adenovirus PREDICT_AdV-54,Africa,2,
368,Adenovirus PREDICT_AdV-55,Asia,1,
369,Adenovirus PREDICT_AdV-56,Africa,1,
370,Adenovirus PREDICT_AdV-57,Africa,1,
371,Adenovirus PREDICT_AdV-58,Africa,2,
372,Adenovirus PREDICT_AdV-59,Africa,1,
373,Adenovirus PREDICT_AdV-60,Africa,1,
374,Adenovirus PREDICT_AdV-61,Africa,1,
375,Adenovirus PREDICT_AdV-62,Africa,1,
376,Adenovirus PREDICT_AdV-63,Africa,1,
377,Adenovirus PREDICT_AdV-64,Africa,2,
378,Adenovirus PREDICT_AdV-65,Africa,1,
379,Adenovirus PREDICT_AdV-66,Asia,5,
380,Adenovirus PREDICT_AdV-67,Asia,1,
381,Adenovirus PREDICT_AdV-68,Africa,3,
382,Adenovirus PREDICT_AdV-69,Asia,2,
383,Adenovirus PREDICT_AdV-70,Asia,1,
384,Adenovirus PREDICT_AdV-71,South America,2,
385,Adenovirus PREDICT_AdV-72,Asia,3,
386,Adenovirus PREDICT_AdV-73,Africa,5,
387,Adenovirus PREDICT_AdV-74,Africa,6,
388,Adenovirus PREDICT_AdV-75,Africa,109,
389,Adenovirus PREDICT_AdV-77,Asia,1,
390,Adenovirus PREDICT_AdV-78,Africa,1,
391,Adenovirus PREDICT_AdV-79,Africa,1,
392,Adenovirus PREDICT_AdV-80,Africa,1,
393,Adenovirus PREDICT_AdV-81,North America,1,
394,Adenovirus PREDICT_AdV-87,North America,3,
395,Adenovirus PREDICT_AdV-90,Asia,6,
396,Adenovirus PREDICT_AdV-91,Asia,1,
397,Adenovirus red squirrel/DEU/JK-2011,Europa,2,
398,Adenovirus sp.,Asia,17,
399,Adenovirus sp.,Oceans and Seas,1,
400,Adenovirus squirrel/298/07-19/PT,Europa,2,
401,Adenovirus squirrel/96-29/KOR,Asia,2,
402,Adenovirus squirrel/GBR/SG-2012,Europa,2,
403,Adintovirus sp.,North America,23,
404,Adler hantavirus,Europa,25,
405,Adonis mosaic virus,Asia,12,
406,Adoxophyes honmai entomopoxvirus,Asia,494,
407,Adoxophyes orana granulovirus,Asia,148,
408,Adoxophyes orana granulovirus,Europa,4,
409,Adoxophyes orana nucleopolyhedrovirus,Europa,242,
410,Aedes Ifla-like virus,Europa,1,
411,Aedes aegypti Thai densovirus,Asia,14,
412,Aedes aegypti To flavivirus-like,South America,1,
413,Aedes aegypti To virus 1,South America,2,
414,Aedes aegypti To virus 2,South America,3,
415,Aedes aegypti anphevirus,North America,33,
416,Aedes aegypti anphevirus,Oceans and Seas,4,
417,Aedes aegypti toti-like virus,North America,4,
418,Aedes aegypti totivirus,Africa,2,
419,Aedes aegypti totivirus,North America,45,
420,Aedes aegypti totivirus 2,South America,3,
421,Aedes aegypti virga-like virus,Africa,2,
422,Aedes alboannulatus orthomyxo-like virus,Oceans and Seas,4,
423,Aedes alboannulatus toti-like virus 1,Oceans and Seas,4,
424,Aedes albopictus anphevirus,North America,7,
425,Aedes albopictus densovirus 5,Asia,3,
426,Aedes albopictus densovirus 7,Asia,3,
427,Aedes albopictus negev-like virus,Oceans and Seas,6,
428,Aedes angustivittatus narnavirus,North America,1,
429,Aedes anphevirus,Africa,9,
430,Aedes anphevirus,Asia,33,
431,Aedes anphevirus,North America,24,
432,Aedes anphevirus,Oceans and Seas,4,
433,Aedes anphevirus,South America,5,
434,Aedes birnavirus,Oceans and Seas,4,
435,Aedes camptorhynchus negev-like virus,Oceans and Seas,10,
436,Aedes camptorhynchus reo-like virus,Oceans and Seas,8,
437,Aedes camptorhynchus toti-like virus 1,Oceans and Seas,4,
438,Aedes detritus orthomyxo-like virus,Europa,4,
439,Aedes flavivirus,Africa,24,
440,Aedes flavivirus,Asia,68,
441,Aedes flavivirus,Europa,12,
442,Aedes flavivirus,North America,3,
443,Aedes flavivirus,South America,1,
444,Aedes galloisi flavivirus,Asia,2,
445,Aedes iflavi-like virus 1,South America,3,
446,Aedes iflavi-like virus 2,South America,2,
447,Aedes japonicus narnavirus 1,Asia,2,
448,Aedes japonicus narnavirus 1,Europa,2,
449,Aedes notoscriptus flavivirus,Oceans and Seas,2,
450,Aedes permutotetra-like virus 1,South America,1,
451,Aedes permutotetra-like virus 2,South America,2,
452,Aedes phasmavirus,Asia,27,
453,Aedes pseudoscutellaris reovirus,Africa,9,
454,Aedes pseudoscutellaris reovirus,Europa,18,
455,Aedes rhabdo-like virus,South America,1,
456,Aedes sobemo-like virus,South America,4,
457,Aedes sollicitans nucleopolyhedrovirus,North America,2,
458,Aedes taeniorhynchus narnavirus,North America,1,
459,Aedes vexans iflavirus,Africa,1,
460,Aegithalos caudatus CRESS-DNA-virus sp.,Asia,1,
461,Aegithalos caudatus Genomoviridae sp.,Asia,6,
462,Aegithalos caudatus ambidensovirus,Asia,4,
463,Aegithalos caudatus parvoviridae sp.,Asia,11,
464,Aeonium ringspot virus,Europa,4,
465,Aeribacillus virus AP45,Europa,146,
466,Aerococcus phage vB_AviM_AVP,Asia,165,
467,Aeromonas phage 13AhydR10PP,Europa,80,
468,Aeromonas phage 14AhydR10PP,Europa,82,
469,Aeromonas phage 2_D05,Asia,166,
470,Aeromonas phage 4_4512,Asia,62,
471,Aeromonas phage 4_D05,Asia,148,
472,Aeromonas phage 4_L372X,Asia,82,
473,Aeromonas phage 50AhydR13PP,Europa,490,
474,Aeromonas phage 60AhydR15PP,Europa,494,
475,Aeromonas phage 62AhydR11PP,Europa,64,
476,Aeromonas phage 85AhydR10PP,Europa,80,
477,Aeromonas phage AP1,Asia,455,
478,Aeromonas phage Ah1,Europa,664,
479,Aeromonas phage AhyVDH1,Asia,59,
480,Aeromonas phage Akh-2,Asia,223,
481,Aeromonas phage Atoyac1,North America,46,
482,Aeromonas phage Atoyac10,North America,46,
483,Aeromonas phage Atoyac13,North America,46,
484,Aeromonas phage Atoyac14,North America,46,
485,Aeromonas phage Atoyac15,North America,50,
486,Aeromonas phage Atoyac23,North America,46,
487,Aeromonas phage BUCT551,Asia,148,
488,Aeromonas phage BUCT552,Asia,74,
489,Aeromonas phage BUCT695,Asia,127,
490,Aeromonas phage CF8,Asia,244,
491,Aeromonas phage D3,Asia,267,
492,Aeromonas phage D6,Asia,267,
493,Aeromonas phage D9,Asia,271,
494,Aeromonas phage HJG,Asia,26,
495,Aeromonas phage LAh1,Oceans and Seas,45,
496,Aeromonas phage LAh10,Oceans and Seas,228,
497,Aeromonas phage LAh2,Oceans and Seas,45,
498,Aeromonas phage LAh3,Oceans and Seas,50,
499,Aeromonas phage LAh4,Oceans and Seas,52,
500,Aeromonas phage LAh5,Oceans and Seas,53,
501,Aeromonas phage LAh_7,Oceans and Seas,150,
502,Aeromonas phage MJG,Asia,35,
503,Aeromonas phage PAS-1,Asia,7,
504,Aeromonas phage PS,Asia,49,
505,Aeromonas phage PS1,Asia,247,
506,Aeromonas phage PS2,Asia,249,
507,Aeromonas phage PVN02,Asia,64,
508,Aeromonas phage PVN03,Asia,64,
509,Aeromonas phage PVN04,Asia,65,
510,Aeromonas phage PVN05,Asia,66,
511,Aeromonas phage PZL-Ah1,Asia,44,
512,Aeromonas phage PZL-Ah152,Asia,54,
513,Aeromonas phage PZL-Ah8,Asia,52,
514,Aeromonas phage V46,Europa,1,
515,Aeromonas phage VTCCBP2,Asia,1,
516,Aeromonas phage VTCCBPA5,Asia,1,
517,Aeromonas phage pAh6.2TG,Asia,65,
518,Aeromonas phage phiARM81ld,Europa,61,
519,Aeromonas phage phiARM81mr,Europa,70,
520,Aeromonas phage phiAS5,Asia,686,
521,Aeromonas phage vB_AhyS-A18P4,Asia,146,
522,Aeromonas phage vB_AsM_ZHF,Asia,237,
523,Aeromonas phage vB_AsaM_LPM4,North America,55,
524,Aeromonas virus 25AhydR2PP,Europa,102,
525,Aeromonas virus 2L372D,Asia,434,
526,Aeromonas virus 2L372X,Asia,422,
527,Aeromonas virus 4-4572,Asia,308,
528,Aeromonas virus 4L372D,Asia,502,
529,Aeromonas virus 4L372XY,Asia,442,
530,Aeromonas virus 56,Europa,166,
531,Aeromonas virus A8-29,Asia,370,
532,Aeromonas virus AS4,Asia,542,
533,Aeromonas virus AS7,Asia,102,
534,Aeromonas virus CC2,Asia,854,
535,Aeromonas virus CF7,Asia,98,
536,Aeromonas virus LAh6,Oceans and Seas,328,
537,Aeromonas virus LAh8,Oceans and Seas,286,
538,Aeromonas virus LAh9,Oceans and Seas,294,
539,Aeromonas virus pAh6C,Asia,172,
540,Aeropyrum coil-shaped virus,Asia,114,
541,Aeropyrum globular virus 1,Asia,66,
542,Aeropyrum pernix bacilliform virus 1,Asia,28,
543,Aesopia cornuta ranavirus,Asia,2,
544,African cassava mosaic Burkina Faso virus,Africa,34,
545,African cassava mosaic virus,Africa,2982,
546,African cassava mosaic virus,Asia,51,
547,African cassava mosaic virus,North America,1,
548,African cichlid hepadnavirus,Africa,1,
549,African cichlid nackednavirus,Africa,5,
550,African eggplant mosaic virus,Africa,2,
551,African eggplant yellowing virus,Africa,21,
552,African horse sickness virus,Africa,2434,
553,African horse sickness virus,Asia,33,
554,African horse sickness virus,Europa,3,
